,2022,2021,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Arizona Diamondbacks,74,52,85,82,93,69,79,64,81,81,94,65,70,82
Atlanta Braves,101,88,97,90,72,68,67,79,96,94,89,91,86,72
Baltimore Orioles,83,52,54,47,75,89,81,96,85,93,69,66,64,68
Boston Red Sox,78,92,84,108,93,93,78,71,97,69,90,89,95,95
Chicago Cubs,74,71,84,95,92,103,97,73,66,61,71,75,83,97
Chicago White Sox,81,93,72,62,67,78,76,73,63,85,79,88,79,89
Cincinnati Reds,62,83,75,67,68,68,64,76,90,97,79,91,78,74
Cleveland Guardians,92,80,93,91,102,94,81,85,92,68,80,69,65,81
Colorado Rockies,68,74,71,91,87,75,68,66,74,64,73,83,92,74
Detroit Tigers,66,77,47,64,64,86,74,90,93,88,95,81,86,74
Houston Astros,106,95,107,103,101,84,86,70,51,55,56,76,74,86
Kansas City Royals,65,74,59,58,80,81,95,89,86,72,71,67,65,75
Los Angeles Angels,73,77,72,80,80,74,85,98,78,89,86,80,97,100
Los Angeles Dodgers,111,106,106,92,104,91,92,94,92,86,82,80,95,84
Miami Marlins,69,67,57,63,77,79,71,77,62,69,72,80,87,84
Milwaukee Brewers,86,95,89,96,86,73,68,82,74,83,96,77,80,90
Minnesota Twins,78,73,101,78,85,59,83,70,66,66,63,94,87,88
New York Mets,101,77,86,77,70,87,90,79,74,74,77,79,70,89
New York Yankees,99,92,103,100,91,84,87,84,85,95,97,95,103,89
Oakland Athletics,60,86,97,97,75,69,68,88,96,94,74,81,75,75
Philadelphia Phillies,87,82,81,80,66,71,63,73,73,81,102,97,93,92
Pittsburgh Pirates,62,61,69,82,75,78,98,88,94,79,72,57,62,67
San Diego Padres,89,79,70,66,71,68,74,77,76,76,71,90,75,63
San Francisco Giants,81,107,77,73,64,87,84,88,76,94,86,92,88,72
Seattle Mariners,90,90,68,89,78,86,76,87,71,75,67,61,85,61
St. Louis Cardinals,93,90,91,88,83,86,100,90,97,88,90,86,91,86
Tampa Bay Rays,86,100,96,90,80,68,80,77,92,90,91,96,84,97
Texas Rangers,68,60,78,67,78,95,88,67,91,93,96,90,87,79
Toronto Blue Jays,92,91,67,73,76,89,93,83,74,73,81,85,75,86
Washington Nationals,55,65,93,82,97,95,83,96,86,98,80,69,59,59
