"Name","Team","AB","AVG","OBP","SLG","OPS","H","BB","R","RBI","1B","2B","3B","HR","IBB","SO","HBP","SF","GDP","SB","GB","FB","Balls","Strikes","BB%","K%","BB/K","ISO","BABIP","GB/FB","wOBA","Bat","Fld","BsR","WAR","Dol","Barrels","Barrel%","xwOBA","playerid"
"Otto Lopez","TOR","9",".667",".700",".667","1.367","6","1","0","3","6","0","0","0","0","1","0","0","0","0","4","1","14","22","10.0%","10.0%","1.00",".000",".750","4.00",".599","2.3","-1.1","-0.2","0.1","$1.1","0","0.0%",".302","19608"
"James Outman","LAD","13",".462",".563",".846","1.409","6","2","6","3","3","2","0","1","0","7","1","0","0","0","2","2","22","41","12.5%","43.8%","0.29",".385","1.000","1.00",".584","3.5","0.3","0.6","0.5","$4.0","0","0.0%",".319","24770"
"Matt Carpenter","NYY","128",".305",".412",".727","1.138","39","19","28","37","15","9","0","15","1","35","5","1","2","0","21","49","288","435","12.3%","22.7%","0.54",".422",".304","0.43",".472","20.2","-0.1","-0.9","2.3","$18.3","13","13.7%",".362","8090"
"Aaron Judge","NYY","570",".311",".425",".686","1.111","177","111","133","131","87","28","0","62","19","175","6","5","14","16","149","174","1176","1730","15.9%","25.1%","0.63",".375",".340","0.86",".458","84.0","4.7","2.1","11.4","$91.4","106","26.2%",".463","15640"
"Joe Dunand","MIA","10",".300",".364",".700","1.064","3","0","2","1","1","1","0","1","0","3","1","0","0","0","1","5","17","30","0.0%","27.3%","0.00",".400",".333","0.20",".449","1.2","0.4","0.1","0.2","$1.8","0","0.0%",".205","19727"
"David Hensley","HOU","29",".345",".441",".586","1.027","10","5","7","5","6","2","1","1","0","6","0","0","3","0","12","7","55","87","14.7%","17.6%","0.83",".241",".409","1.71",".440","3.6","-1.3","-1.1","0.2","$1.4","1","4.3%",".353","25111"
"Dalton Guthrie","PHI","21",".333",".500",".476",".976","7","6","3","5","6","0","0","1","0","7","1","0","0","1","6","4","50","70","21.4%","25.0%","0.86",".143",".462","1.50",".437","2.7","-0.7","0.2","0.3","$2.5","1","7.1%",".363","21293"
"Yordan Alvarez","HOU","470",".306",".406",".613","1.019","144","78","95","97","76","29","2","37","9","106","6","7","12","1","145","146","895","1300","13.9%","18.9%","0.74",".306",".320","0.99",".427","53.5","3.2","-0.6","6.6","$53.1","78","21.0%",".462","19556"
"Livan Soto","LAA","55",".400",".414",".582",".996","22","2","9","9","15","5","1","1","0","13","0","1","1","1","12","16","76","147","3.4%","22.0%","0.15",".182",".500","0.75",".424","5.4","-1.7","0.6","0.7","$5.7","0","0.0%",".283","22471"
"Paul Goldschmidt","STL","561",".317",".404",".578",".981","178","79","106","115","102","41","0","35","1","141","5","4","7","7","171","173","1044","1657","12.1%","21.7%","0.56",".260",".368","0.99",".419","58.6","-3.8","3.0","7.1","$56.9","49","11.5%",".367","9218"
