,Interest Rates,Housing Index Inflation Adjusted
1/1/1987,6.43,62.19519
2/1/1987,6.10,62.41640
3/1/1987,6.13,62.49509
4/1/1987,6.37,62.59843
5/1/1987,6.85,62.84634
6/1/1987,6.73,63.05429
7/1/1987,6.58,63.30401
8/1/1987,6.73,63.43458
9/1/1987,7.22,63.58450
10/1/1987,7.29,63.80292
11/1/1987,6.69,63.92812
12/1/1987,6.77,64.19044
1/1/1988,6.83,64.29685
2/1/1988,6.58,64.56278
3/1/1988,6.58,64.74612
4/1/1988,6.87,64.67271
5/1/1988,7.09,64.92243
6/1/1988,7.51,65.07234
7/1/1988,7.75,65.22373
8/1/1988,8.01,65.35474
9/1/1988,8.19,65.48102
10/1/1988,8.30,65.61941
11/1/1988,8.35,65.79380
12/1/1988,8.76,65.92844
1/1/1989,9.12,66.08723
2/1/1989,9.36,66.25821
3/1/1989,9.85,66.28390
4/1/1989,9.84,66.06854
5/1/1989,9.81,65.94160
6/1/1989,9.53,65.88093
7/1/1989,9.24,65.82238
8/1/1989,8.99,65.97812
9/1/1989,9.02,66.01133
10/1/1989,8.84,65.89156
11/1/1989,8.55,65.83464
12/1/1989,8.45,65.78394
1/1/1990,8.23,65.32792
2/1/1990,8.24,65.20474
3/1/1990,8.28,65.02518
4/1/1990,8.26,64.93854
5/1/1990,8.18,64.85388
6/1/1990,8.29,64.42195
7/1/1990,8.15,64.02699
8/1/1990,8.13,63.38481
9/1/1990,8.20,62.82347
10/1/1990,8.11,62.27783
11/1/1990,7.81,61.87074
12/1/1990,7.31,61.49090
1/1/1991,6.91,61.04633
2/1/1991,6.25,60.85480
3/1/1991,6.12,60.72302
4/1/1991,5.91,60.58497
5/1/1991,5.78,60.52054
6/1/1991,5.90,60.52333
7/1/1991,5.82,60.50603
8/1/1991,5.66,60.35027
9/1/1991,5.45,60.24048
10/1/1991,5.21,60.05950
11/1/1991,4.81,59.75005
12/1/1991,4.43,59.61081
1/1/1992,4.03,59.59120
2/1/1992,4.06,59.51614
3/1/1992,3.98,59.39643
4/1/1992,3.73,59.32222
5/1/1992,3.82,59.23592
6/1/1992,3.76,59.01577
7/1/1992,3.25,58.79456
8/1/1992,3.30,58.64313
9/1/1992,3.22,58.52536
10/1/1992,3.10,58.38227
11/1/1992,3.09,58.35666
12/1/1992,2.92,58.36294
1/1/1993,3.02,58.24202
2/1/1993,3.03,58.16080
3/1/1993,3.07,58.10230
4/1/1993,2.96,57.95225
5/1/1993,3.00,57.86661
6/1/1993,3.04,57.98114
7/1/1993,3.06,58.04107
8/1/1993,3.03,58.05771
9/1/1993,3.09,58.11359
10/1/1993,2.99,57.98272
11/1/1993,3.02,57.97744
12/1/1993,2.96,57.99034
1/1/1994,3.05,58.18728
2/1/1994,3.25,58.12830
3/1/1994,3.34,58.06523
4/1/1994,3.56,58.12218
5/1/1994,4.01,58.17654
6/1/1994,4.25,58.16567
7/1/1994,4.26,58.09524
8/1/1994,4.47,57.99724
9/1/1994,4.73,57.98082
10/1/1994,4.76,58.04859
11/1/1994,5.29,57.95433
12/1/1994,5.45,57.94458
1/1/1995,5.53,57.88414
2/1/1995,5.92,57.80320
3/1/1995,5.98,57.73866
4/1/1995,6.05,57.55539
5/1/1995,6.01,57.47250
6/1/1995,6.00,57.41622
7/1/1995,5.85,57.45028
8/1/1995,5.74,57.45941
9/1/1995,5.80,57.52302
10/1/1995,5.76,57.49731
11/1/1995,5.80,57.51905
12/1/1995,5.60,57.52664
1/1/1996,5.56,57.29777
2/1/1996,5.22,57.27073
3/1/1996,5.31,57.25376
4/1/1996,5.22,57.19121
5/1/1996,5.24,57.21240
6/1/1996,5.27,57.20103
7/1/1996,5.40,57.21315
8/1/1996,5.22,57.24923
9/1/1996,5.30,57.18517
10/1/1996,5.24,57.08660
11/1/1996,5.31,57.02618
12/1/1996,5.29,56.99787
1/1/1997,5.25,57.04961
2/1/1997,5.19,57.09505
3/1/1997,5.39,57.24301
4/1/1997,5.51,57.32373
5/1/1997,5.50,57.48495
6/1/1997,5.56,57.52537
7/1/1997,5.52,57.62382
8/1/1997,5.54,57.64282
9/1/1997,5.54,57.68659
10/1/1997,5.50,57.77796
11/1/1997,5.52,58.03205
12/1/1997,5.50,58.30413
1/1/1998,5.56,58.58118
2/1/1998,5.51,58.84060
3/1/1998,5.49,59.13413
4/1/1998,5.45,59.35305
5/1/1998,5.49,59.53012
6/1/1998,5.56,59.77702
7/1/1998,5.54,59.93913
8/1/1998,5.55,60.18131
9/1/1998,5.51,60.45786
10/1/1998,5.07,60.61299
11/1/1998,4.83,60.85794
12/1/1998,4.68,61.08488
1/1/1999,4.63,61.29916
2/1/1999,4.76,61.60432
3/1/1999,4.81,61.92515
4/1/1999,4.74,61.88540
5/1/1999,4.74,62.21288
6/1/1999,4.76,62.62462
7/1/1999,4.99,62.76256
8/1/1999,5.07,63.01876
9/1/1999,5.22,63.17093
10/1/1999,5.20,63.48412
11/1/1999,5.42,63.77689
12/1/1999,5.30,64.06853
1/1/2000,5.45,64.33293
2/1/2000,5.73,64.56948
3/1/2000,5.85,64.69103
4/1/2000,6.02,65.23276
5/1/2000,6.27,65.59677
6/1/2000,6.53,65.68508
7/1/2000,6.54,65.89005
8/1/2000,6.50,66.33787
9/1/2000,6.52,66.47440
10/1/2000,6.51,66.88543
11/1/2000,6.51,67.34230
12/1/2000,6.40,67.70913
1/1/2001,5.98,67.75780
2/1/2001,5.49,68.00692
3/1/2001,5.31,68.34228
4/1/2001,4.8,68.55948
5/1/2001,4.21,68.52426
6/1/2001,3.97,68.75586
7/1/2001,3.77,69.29649
8/1/2001,3.65,69.70863
9/1/2001,3.07,69.82693
10/1/2001,2.49,70.32724
11/1/2001,2.09,70.70067
12/1/2001,1.82,71.10565
1/1/2002,1.73,71.40498
2/1/2002,1.74,71.71121
3/1/2002,1.73,72.02189
4/1/2002,1.75,72.25875
5/1/2002,1.75,72.84986
6/1/2002,1.75,73.46608
7/1/2002,1.73,73.94972
8/1/2002,1.74,74.31077
9/1/2002,1.75,74.75601
10/1/2002,1.75,75.16187
11/1/2002,1.34,75.59564
12/1/2002,1.24,76.03929
1/1/2003,1.24,76.20266
2/1/2003,1.26,76.31563
3/1/2003,1.25,76.65762
4/1/2003,1.26,77.38628
5/1/2003,1.26,78.01661
6/1/2003,1.22,78.47209
7/1/2003,1.01,78.88090
8/1/2003,1.03,79.23810
9/1/2003,1.01,79.75720
10/1/2003,1.01,80.56871
11/1/2003,1.00,81.26465
12/1/2003,0.98,81.85434
1/1/2004,1.00,82.35579
2/1/2004,1.01,83.07570
3/1/2004,1.00,83.97838
4/1/2004,1.00,84.73060
5/1/2004,1.00,85.28785
6/1/2004,1.03,85.92653
7/1/2004,1.26,86.68741
8/1/2004,1.43,87.38356
9/1/2004,1.61,87.98962
10/1/2004,1.76,88.42088
11/1/2004,1.93,89.00927
12/1/2004,2.16,90.02803
1/1/2005,2.28,91.18194
2/1/2005,2.50,91.95973
3/1/2005,2.63,93.01134
4/1/2005,2.79,93.66772
5/1/2005,3.00,94.75061
6/1/2005,3.04,95.73063
7/1/2005,3.26,96.06878
8/1/2005,3.50,96.35473
9/1/2005,3.62,96.13308
10/1/2005,3.78,96.85325
11/1/2005,4.00,98.24599
12/1/2005,4.16,98.91854
1/1/2006,4.29,99.08926
2/1/2006,4.49,99.56486
3/1/2006,4.59,100.00000
4/1/2006,4.79,99.48178
5/1/2006,4.94,99.09217
