,Housing Index,Interest Rates,Housing Index Inflation Adjusted
1/1/1987,63.734,6.43,62.19456
2/1/1987,64.134,6.1,62.41674
3/1/1987,64.47,6.13,62.49543
4/1/1987,64.974,6.37,62.59973
5/1/1987,65.548,6.85,62.84764
6/1/1987,66.219,6.73,63.05558
7/1/1987,66.787,6.58,63.30435
8/1/1987,67.27,6.73,63.43493
9/1/1987,67.623,7.22,63.5839
10/1/1987,67.901,7.29,63.80138
11/1/1987,68.091,6.69,63.92752
12/1/1987,68.343,6.77,64.18985
1/1/1988,68.582,6.83,64.29813
2/1/1988,68.916,6.58,64.56499
3/1/1988,69.324,6.58,64.7474
4/1/1988,69.789,6.87,64.67307
5/1/1988,70.409,7.09,64.92278
6/1/1988,71.068,7.51,65.07269
7/1/1988,71.687,7.75,65.22409
8/1/1988,72.186,8.01,65.35509
9/1/1988,72.575,8.19,65.48137
10/1/1988,72.823,8.3,65.61977
11/1/1988,73.065,8.35,65.79505
12/1/1988,73.278,8.76,65.9279
1/1/1989,73.617,9.12,66.08669
2/1/1989,73.968,9.36,66.25768
3/1/1989,74.41,9.85,66.28337
4/1/1989,74.868,9.84,66.0689
5/1/1989,75.297,9.81,65.94283
6/1/1989,75.697,9.53,65.88128
7/1/1989,76.043,9.24,65.82448
8/1/1989,76.273,8.99,65.97848
9/1/1989,76.422,9.02,66.01169
10/1/1989,76.489,8.84,65.89192
11/1/1989,76.522,8.55,65.83586
12/1/1989,76.498,8.45,65.7843
1/1/1990,76.527,8.23,65.32827
2/1/1990,76.587,8.24,65.20509
3/1/1990,76.79,8.28,65.02553
4/1/1990,77.038,8.26,64.93806
5/1/1990,77.296,8.18,64.8534
6/1/1990,77.505,8.29,64.4223
7/1/1990,77.56,8.15,64.02651
8/1/1990,77.479,8.13,63.38515
9/1/1990,77.229,8.2,62.82463
10/1/1990,76.912,8.11,62.27898
11/1/1990,76.381,7.81,61.87188
12/1/1990,75.972,7.31,61.49123
1/1/1991,75.533,6.91,61.04747
2/1/1991,75.25,6.25,60.85674
3/1/1991,75.137,6.12,60.72415
4/1/1991,75.316,5.91,60.5853
5/1/1991,75.769,5.78,60.52167
6/1/1991,76.254,5.9,60.52605
7/1/1991,76.517,5.82,60.50716
8/1/1991,76.594,5.66,60.35139
9/1/1991,76.576,5.45,60.24238
10/1/1991,76.29,5.21,60.05983
11/1/1991,76.03,4.81,59.75037
12/1/1991,75.844,4.43,59.61113
1/1/1992,75.699,4.03,59.59153
2/1/1992,75.654,4.06,59.51647
3/1/1992,75.813,3.98,59.39676
4/1/1992,76.08,3.73,59.32332
5/1/1992,76.398,3.82,59.23702
6/1/1992,76.602,3.76,59.01609
7/1/1992,76.711,3.25,58.79565
8/1/1992,76.731,3.3,58.64422
9/1/1992,76.628,3.22,58.52644
10/1/1992,76.598,3.1,58.38411
11/1/1992,76.579,3.09,58.3585
12/1/1992,76.465,2.92,58.36478
1/1/1993,76.395,3.02,58.2431
2/1/1993,76.327,3.03,58.16111
3/1/1993,76.383,3.07,58.10337
4/1/1993,76.661,2.96,57.95332
5/1/1993,77.031,3,57.86843
6/1/1993,77.516,3.04,57.98221
7/1/1993,77.885,3.06,58.04138
8/1/1993,78.131,3.03,58.05877
9/1/1993,78.198,3.09,58.11465
10/1/1993,78.172,2.99,57.98453
11/1/1993,78.17,3.02,57.9785
12/1/1993,78.114,2.96,57.9914
1/1/1994,78.199,3.05,58.18834
2/1/1994,78.205,3.25,58.1301
3/1/1994,78.349,3.34,58.06628
4/1/1994,78.701,3.56,58.12323
5/1/1994,79.209,4.01,58.17759
6/1/1994,79.701,4.25,58.16745
7/1/1994,80.064,4.26,58.09775
8/1/1994,80.317,4.47,57.99901
9/1/1994,80.34,4.73,57.98259
10/1/1994,80.304,4.76,58.04891
11/1/1994,80.17,5.29,57.95537
12/1/1994,80.079,5.45,57.94561
1/1/1995,80.027,5.53,57.88517
2/1/1995,79.993,5.92,57.80495
3/1/1995,80.079,5.98,57.74112
4/1/1995,80.37,6.05,57.55642
5/1/1995,80.691,6.01,57.47281
6/1/1995,81.069,6,57.41866
7/1/1995,81.413,5.85,57.4513
8/1/1995,81.655,5.74,57.46114
9/1/1995,81.739,5.8,57.52474
10/1/1995,81.728,5.76,57.49904
11/1/1995,81.632,5.8,57.52077
12/1/1995,81.514,5.6,57.52836
1/1/1996,81.428,5.56,57.29948
2/1/1996,81.4,5.22,57.27174
3/1/1996,81.666,5.31,57.25547
4/1/1996,82.125,5.22,57.19222
5/1/1996,82.603,5.24,57.2141
6/1/1996,83.049,5.27,57.20272
7/1/1996,83.419,5.4,57.21484
8/1/1996,83.645,5.22,57.25092
