id,observed_on,url,image_url,description,latitude,longitude,geoprivacy,coordinates_obscured,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,generic_name
8989,2010-10-09,http://www.inaturalist.org/observations/8989,https://inaturalist-open-data.s3.amazonaws.com/photos/19303/medium.jpg,,39.4360618591,-120.2656173706,,False,Brook Trout,Salvelinus fontinalis,Brook Trout,Actinopterygii,49596,Brook Trout
8997,2007-04-01,http://www.inaturalist.org/observations/8997,https://inaturalist-open-data.s3.amazonaws.com/photos/19311/medium.jpg,"Spawning in Maacama Creek, a tributary of the Russian River",38.6116142273,-122.7757568359,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
11230,2011-02-10,http://www.inaturalist.org/observations/11230,https://static.inaturalist.org/photos/22961/medium.JPG,,38.564342,-122.690286,,False,rainbow trout (Oncorhynchus mykiss),Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
28176,2011-08-13,http://www.inaturalist.org/observations/28176,https://static.inaturalist.org/photos/50149/medium.jpg,,38.0471447855,-119.2813110352,,False,rainbow trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
28177,2011-08-12,http://www.inaturalist.org/observations/28177,https://static.inaturalist.org/photos/50150/medium.jpg,,38.0475503364,-119.2808818817,,False,Brook Trout,Salvelinus fontinalis,Brook Trout,Actinopterygii,49596,Brook Trout
30911,2011-09-09,http://www.inaturalist.org/observations/30911,https://static.inaturalist.org/photos/53572/medium.JPG,,36.680465889,-118.7633228302,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
46439,2009-11-01,http://www.inaturalist.org/observations/46439,https://static.inaturalist.org/photos/74649/medium.JPG,,37.3635404,-118.3951101,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
62524,2010-07-08,http://www.inaturalist.org/observations/62524,https://inaturalist-open-data.s3.amazonaws.com/photos/96098/medium.JPG,"[Fish] in Lower Lamarck Lake, though not the namesake Golden Trout of that wilderness area.",37.2173497766,-118.6413597163,,False,Brook Trout,Salvelinus fontinalis,Brook Trout,Actinopterygii,49596,Brook Trout
72221,2012-04-28,http://www.inaturalist.org/observations/72221,https://static.inaturalist.org/photos/108737/medium.jpg,"11 inches, scales are rainbow, fins are brown and spotted.",39.1708057172,-123.0098361489,,False,rainbow trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
84329,2012-05-28,http://www.inaturalist.org/observations/84329,https://inaturalist-open-data.s3.amazonaws.com/photos/123520/medium.jpg,Young Wild Steelhead.,38.6137317468,-122.7830386641,,False,rainbow trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
97737,2012-05-28,http://www.inaturalist.org/observations/97737,https://static.inaturalist.org/photos/141903/medium.jpg,"From the fishhouse observation windows.

The brookies spawn in front of the windows in late summer. It's a great show!",39.4314065022,-120.2413782477,,False,Brook trout,Salvelinus fontinalis,Brook Trout,Actinopterygii,49596,Brook Trout
97751,2012-05-22,http://www.inaturalist.org/observations/97751,https://static.inaturalist.org/photos/141915/medium.jpg,"Our only native trout, extirpated from Sagehen Creek by introduced brooks, browns and rainbows.

This one lives in the fishhouse channel and was raised in the Forest Service's office aquarium.",39.4314140343,-120.2413726571,,False,Lahontan Cutthroat Trout,Oncorhynchus henshawi henshawi,Lahontan Cutthroat Trout,Actinopterygii,1520371,Cutthroat Trout
