id,observed_on,url,image_url,description,latitude,longitude,geoprivacy,coordinates_obscured,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,generic_name
113560,2012-08-12,http://www.inaturalist.org/observations/113560,https://inaturalist-open-data.s3.amazonaws.com/photos/162309/medium.jpg,,40.2851278,-105.6881788,,False,Rocky Mountain Cutthroat Trout,Oncorhynchus virginalis,Rocky Mountain Cutthroat Trout,Actinopterygii,1316977,Cutthroat Trout
143118,2006-06-04,http://www.inaturalist.org/observations/143118,https://inaturalist-open-data.s3.amazonaws.com/photos/198016/medium.JPG,,40.3093187,-105.6591235,,False,Black-spotted Cutthroat Trout,Oncorhynchus virginalis,Rocky Mountain Cutthroat Trout,Actinopterygii,1316977,Cutthroat Trout
165517,2011-10-22,http://www.inaturalist.org/observations/165517,https://inaturalist-open-data.s3.amazonaws.com/photos/221756/medium.jpg,,40.293374,-105.655857,,False,Rocky Mountain Cutthroat Trout,Oncorhynchus virginalis,Rocky Mountain Cutthroat Trout,Actinopterygii,1316977,Cutthroat Trout
581234,2012-08-01,http://www.inaturalist.org/observations/581234,https://inaturalist-open-data.s3.amazonaws.com/photos/739547/medium.JPG,,37.87887,-106.62913,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
806285,2014-07-26,http://www.inaturalist.org/observations/806285,https://inaturalist-open-data.s3.amazonaws.com/photos/1016217/medium.JPG,Fern Lake Cutthroat.  Unfortunately only got to fish the lake less than 30 minutes before a lightning and hail storm set in.  Lost a few nice fish and caught a  few small fish.,40.336217,-105.676813,,False,Rocky Mountain Cutthroat Trout,Oncorhynchus virginalis,Rocky Mountain Cutthroat Trout,Actinopterygii,1316977,Cutthroat Trout
806303,2014-07-26,http://www.inaturalist.org/observations/806303,https://inaturalist-open-data.s3.amazonaws.com/photos/1016254/medium.JPG,Fished above the pool on the Big Thompson just below Fern Creek.  Nice Greenback Cutthroat.,40.350192,-105.661397,,False,Rocky Mountain Cutthroat Trout,Oncorhynchus virginalis,Rocky Mountain Cutthroat Trout,Actinopterygii,1316977,Cutthroat Trout
825973,2014-08-05,http://www.inaturalist.org/observations/825973,https://inaturalist-open-data.s3.amazonaws.com/photos/1042383/medium.JPG,,37.313315,-106.493697,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
825999,2014-08-05,http://www.inaturalist.org/observations/825999,https://inaturalist-open-data.s3.amazonaws.com/photos/1042410/medium.JPG,,37.319083,-106.507087,,False,Rio Grande Cutthroat Trout,Oncorhynchus virginalis virginalis,Rio Grande Cutthroat Trout,Actinopterygii,1520378,Cutthroat Trout
846301,2014-08-20,http://www.inaturalist.org/observations/846301,https://inaturalist-open-data.s3.amazonaws.com/photos/1071642/medium.JPG,,37.2921205861,-106.4419092395,obscured,True,Rio Grande Cutthroat Trout,Oncorhynchus virginalis virginalis,Rio Grande Cutthroat Trout,Actinopterygii,1520378,Cutthroat Trout
848679,2009-08-20,http://www.inaturalist.org/observations/848679,https://inaturalist-open-data.s3.amazonaws.com/photos/1097368/medium.jpg,,38.967801,-105.581574,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
848688,2010-08-13,http://www.inaturalist.org/observations/848688,https://inaturalist-open-data.s3.amazonaws.com/photos/1074537/medium.jpg,,38.378666,-104.990137,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
848689,2010-08-13,http://www.inaturalist.org/observations/848689,https://inaturalist-open-data.s3.amazonaws.com/photos/1074538/medium.jpg,,38.378666,-104.990137,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
1372212,2015-04-06,http://www.inaturalist.org/observations/1372212,https://inaturalist-open-data.s3.amazonaws.com/photos/1697135/medium.jpg,,39.0885221087,-104.9535675133,,True,Tiger Trout,Salmo trutta × Salvelinus fontinalis,Tiger Trout,Actinopterygii,705661,Tiger Trout
1646812,2010-06-08,http://www.inaturalist.org/observations/1646812,https://inaturalist-open-data.s3.amazonaws.com/photos/2020230/medium.JPG,"Green back cutthroat trout (Oncorhynchus clarki stomias) in dream lake, Rocky Mountains National Park, Colorado",40.3097381592,-105.6589050293,,False,Oncorhynchus virginalis,Oncorhynchus virginalis,Rocky Mountain Cutthroat Trout,Actinopterygii,1316977,Cutthroat Trout
1927398,2015-09-05,http://www.inaturalist.org/observations/1927398,https://inaturalist-open-data.s3.amazonaws.com/photos/2357372/medium.JPG,,40.30947,-105.659821,,False,Rocky Mountain Cutthroat Trout,Oncorhynchus virginalis,Rocky Mountain Cutthroat Trout,Actinopterygii,1316977,Cutthroat Trout
2088656,2015-10-04,http://www.inaturalist.org/observations/2088656,https://inaturalist-open-data.s3.amazonaws.com/photos/2499069/medium.JPG,Was told this was brown trout but not really sure.,40.3097613889,-105.65721,,False,Rocky Mountain Cutthroat Trout,Oncorhynchus virginalis,Rocky Mountain Cutthroat Trout,Actinopterygii,1316977,Cutthroat Trout
2380545,2015-06-18,http://www.inaturalist.org/observations/2380545,https://static.inaturalist.org/photos/2652411/medium.jpg,,40.804974,-106.973748,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
2494060,2015-10-10,http://www.inaturalist.org/observations/2494060,https://inaturalist-open-data.s3.amazonaws.com/photos/2799613/medium.jpeg,,40.058378,-106.178535,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
2495966,2014-08-15,http://www.inaturalist.org/observations/2495966,https://inaturalist-open-data.s3.amazonaws.com/photos/2802606/medium.jpg,,39.1948547572,-105.3431433662,obscured,True,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
2829161,2016-03-25,http://www.inaturalist.org/observations/2829161,https://static.inaturalist.org/photos/3221199/medium.jpg,,39.5247952128,-107.32827832,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
2839906,2014-04-16,http://www.inaturalist.org/observations/2839906,https://inaturalist-open-data.s3.amazonaws.com/photos/3236801/medium.jpg,,37.421019,-107.551121,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
3129784,2010-07-25,http://www.inaturalist.org/observations/3129784,https://inaturalist-open-data.s3.amazonaws.com/photos/3621376/medium.JPG,,39.481479,-106.734694,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
3176122,2005-12-27,http://www.inaturalist.org/observations/3176122,https://inaturalist-open-data.s3.amazonaws.com/photos/3672951/medium.jpg,,38.829032,-104.878633,,False,Brook Trout,Salvelinus fontinalis,Brook Trout,Actinopterygii,49596,Brook Trout
3517020,2016-06-24,http://www.inaturalist.org/observations/3517020,https://inaturalist-open-data.s3.amazonaws.com/photos/4096251/medium.jpg,,39.6776583333,-107.6984783333,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
3542332,2016-06-02,http://www.inaturalist.org/observations/3542332,https://inaturalist-open-data.s3.amazonaws.com/photos/4129308/medium.JPG,Colorado River Cutthroat,39.361191,-106.820559,,False,Colorado River Cutthroat Trout,Oncorhynchus virginalis pleuriticus,Colorado River Cutthroat Trout,Actinopterygii,1520373,Cutthroat Trout
3542366,2016-06-01,http://www.inaturalist.org/observations/3542366,https://inaturalist-open-data.s3.amazonaws.com/photos/4129353/medium.JPG,,37.927808,-106.418745,,False,Rio Grande Cutthroat Trout,Oncorhynchus virginalis virginalis,Rio Grande Cutthroat Trout,Actinopterygii,1520378,Cutthroat Trout
3693380,2016-07-17,http://www.inaturalist.org/observations/3693380,https://inaturalist-open-data.s3.amazonaws.com/photos/4285051/medium.jpeg,One in a  group of small trout swimming in the shallows of Boulder Creek.,39.9386247768,-105.2594568894,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
3748750,2016-07-18,http://www.inaturalist.org/observations/3748750,https://static.inaturalist.org/photos/4361359/medium.jpg,"Boulder County, Colorado, US",40.014777,-105.279881,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
3754116,2016-07-18,http://www.inaturalist.org/observations/3754116,https://inaturalist-open-data.s3.amazonaws.com/photos/4370061/medium.jpg,"Boulder County, Colorado, US",39.993035,-105.11247,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
3754708,2016-07-27,http://www.inaturalist.org/observations/3754708,https://static.inaturalist.org/photos/4371009/medium.jpeg,,38.9580607218,-106.9868726861,,False,Brook Trout,Salvelinus fontinalis,Brook Trout,Actinopterygii,49596,Brook Trout
