id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,generic_name
246310,161d2bce-d883-42c7-afdc-55f092fe79f6,Sat Apr 16 2011 16:43:00 GMT-0600 (MDT),2011-04-16,2011-04-16 22:43:00 UTC,Mountain Time (US & Canada),14479,fishmav,,2013-04-27 02:19:47 UTC,2024-09-14 23:38:28 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/246310,https://inaturalist-open-data.s3.amazonaws.com/photos/317432/medium.jpg,,,,2,0,False,,"Gallatin National Forest, West Yellowstone, Montana, US",44.668746,-111.105425,5.0,,,,5.0,,,False,,,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516.0,Rainbow Trout
275028,59aedeaa-f06d-4d90-8662-20c819f308b1,Tue May 21 2013 13:15:51 GMT-0600 (MDT),2013-05-21,2013-05-21 19:15:51 UTC,Mountain Time (US & Canada),14479,fishmav,,2013-05-22 02:15:48 UTC,2023-05-14 23:42:54 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/275028,https://inaturalist-open-data.s3.amazonaws.com/photos/340072/medium.jpg,,,,3,0,False,,"Madison River, Cameron, Montana, US",44.8301666667,-111.5136666667,,,,,,,open,False,,,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518.0,Brown Trout
333223,cfb57c68-21f0-4cc6-ae31-d79badba8c54,Sun Jul 14 2013 20:50:00 GMT-0600 (MDT),2013-07-14,2013-07-15 02:50:00 UTC,Mountain Time (US & Canada),14479,fishmav,,2013-07-15 04:07:52 UTC,2024-09-14 23:38:25 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/333223,https://inaturalist-open-data.s3.amazonaws.com/photos/415841/medium.jpg,,,18.5,2,0,False,,"Gallatin National Forest, West Yellowstone, Montana, US",44.7403333333,-111.1621666667,,,,,,,,False,,,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516.0,Rainbow Trout
346048,3385eece-4f42-4e9f-877d-29492d9e2136,Thu Jul 25 2013 19:11:42 GMT-0600 (MDT),2013-07-25,2013-07-26 01:11:42 UTC,Mountain Time (US & Canada),14479,fishmav,,2013-07-26 02:06:28 UTC,2023-07-08 15:43:55 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/346048,https://inaturalist-open-data.s3.amazonaws.com/photos/431016/medium.jpg,,,,2,0,False,,"Gallatin National Forest, Gallatin Gateway, Montana, US",45.2138333333,-111.2456666667,,,,,,,,False,,,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516.0,Rainbow Trout
514335,882b7d0b-fad9-4f67-8ebd-6efa35193e88,2007-07-22,2007-07-22,,Mountain Time (US & Canada),24751,charlie-o,,2014-01-28 22:43:17 UTC,2023-12-24 03:47:32 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/514335,https://inaturalist-open-data.s3.amazonaws.com/photos/655027/medium.jpg,,"Westslope, Cutthroat, trout",High Mountain Lake in the Big Hole River drainage in the upper Missouri basin.,2,0,False,,"Beaverhead County, US-MT, US",45.30471,-113.697574,93.0,,,,93.0,,open,False,,,Westslope Cutthroat Trout,Oncorhynchus lewisi,Westslope Cutthroat Trout,Actinopterygii,1316403.0,Cutthroat Trout
756309,d88601f1-d1f6-475d-b6d6-ae4fcce72435,2014-06-05,2014-06-05,,Mountain Time (US & Canada),43318,cocobitzz,,2014-06-27 15:47:11 UTC,2014-10-19 03:13:23 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/756309,https://inaturalist-open-data.s3.amazonaws.com/photos/950687/medium.jpg,,"Brook, trout, Montana",,1,0,False,,"Logan creek, montana",48.423277,-114.564571,352.0,,,,352.0,,,False,,,Brook Trout,Salvelinus fontinalis,Brook Trout,Actinopterygii,49596.0,Brook Trout
756337,ea5c44c1-8e1a-4379-8c18-a80fd9aba624,2014-04-18,2014-04-18,,Mountain Time (US & Canada),43318,cocobitzz,,2014-06-27 16:00:34 UTC,2024-09-14 23:38:22 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/756337,https://inaturalist-open-data.s3.amazonaws.com/photos/950728/medium.jpg,,,,2,0,False,,Rock creek,46.711619,-113.676224,1459.0,,,,1459.0,,,False,,,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516.0,Rainbow Trout
756538,5a3f46d8-d278-4593-86fb-e23e40c6a168,2013-08-23,2013-08-23,,Eastern Time (US & Canada),43343,aukermanmj,Marc,2014-06-27 18:46:40 UTC,2024-09-14 23:38:18 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/756538,https://inaturalist-open-data.s3.amazonaws.com/photos/950968/medium.jpg,,,Caught and released. ,2,0,False,,Gallatin river,45.881433,-111.319273,15303.0,,,,15303.0,,,False,,,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516.0,Rainbow Trout
756540,0e7ec06e-7fdd-41d9-be23-fa8bb72ccbfb,2013-08-21,2013-08-21,,Eastern Time (US & Canada),43343,aukermanmj,Marc,2014-06-27 18:49:10 UTC,2023-12-24 05:32:06 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/756540,https://inaturalist-open-data.s3.amazonaws.com/photos/950969/medium.jpg,,,Caught and released. ,1,0,False,,Taylor's fork montana,45.080902,-111.373795,214.0,,,,214.0,,open,False,,,Westslope Cutthroat Trout,Oncorhynchus lewisi,Westslope Cutthroat Trout,Actinopterygii,1316403.0,Cutthroat Trout
1438430,45f97da6-ff62-4466-b0d4-e1873e7bfee3,2014-08-26 2:53:18 PM CDT,2014-08-26,2014-08-26 19:53:18 UTC,Central Time (US & Canada),84734,rebap123,,2015-04-30 00:50:53 UTC,2015-06-16 05:02:41 UTC,research,,http://www.inaturalist.org/observations/1438430,https://static.inaturalist.org/photos/1780137/medium.JPG,,,Wyoming,2,0,False,2.0,,45.156665802,-109.3696670532,,,,,,,,False,gps,gps,Brook Trout,Salvelinus fontinalis,Brook Trout,Actinopterygii,49596.0,Brook Trout
