id,observed_on,url,image_url,description,latitude,longitude,geoprivacy,coordinates_obscured,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,generic_name
346828,2013-07-02,http://www.inaturalist.org/observations/346828,https://inaturalist-open-data.s3.amazonaws.com/photos/432008/medium.JPG,,38.799852,-117.398872,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
390822,2013-09-04,http://www.inaturalist.org/observations/390822,https://inaturalist-open-data.s3.amazonaws.com/photos/488883/medium.JPG,"A fry approx 1.5 in. long. To my knowledge this area includes rainbow trout and bull trout, and although this fry has no spots on the dorsal fin (a rainbow trait), I'm not sure if that difference is apparent in fry.",41.82644,-115.419994,,False,Salmons and Trouts,Salmoninae,Salmons and Trouts,Actinopterygii,342904,Unspecified
390824,2013-09-04,http://www.inaturalist.org/observations/390824,https://inaturalist-open-data.s3.amazonaws.com/photos/488885/medium.JPG,a small fry approx 3 in. long.,41.82644,-115.419994,,False,Columbia River Redband Trout,Oncorhynchus mykiss gairdneri,Columbia River Redband Trout,Actinopterygii,237543,Redband Trout
582566,,http://www.inaturalist.org/observations/582566,https://inaturalist-open-data.s3.amazonaws.com/photos/740972/medium.JPG,"Redband trout in Bull Camp Creek, Salmon Fall Creek watershed, NV.",41.493538,-114.970571,,False,Columbia River Redband Trout,Oncorhynchus mykiss gairdneri,Columbia River Redband Trout,Actinopterygii,237543,Redband Trout
582571,2013-07-24,http://www.inaturalist.org/observations/582571,https://inaturalist-open-data.s3.amazonaws.com/photos/740982/medium.JPG,"Redband trout from South Fork Salmon Falls Creek, NV.",41.781268,-115.004333,,False,Columbia River Redband Trout,Oncorhynchus mykiss gairdneri,Columbia River Redband Trout,Actinopterygii,237543,Redband Trout
582575,2013-06-18,http://www.inaturalist.org/observations/582575,https://inaturalist-open-data.s3.amazonaws.com/photos/740986/medium.JPG,"Redband trout, McCann Creek, South Fork Owyhee River",41.307714,-116.293353,,False,Columbia River Redband Trout,Oncorhynchus mykiss gairdneri,Columbia River Redband Trout,Actinopterygii,237543,Redband Trout
584617,2013-06-06,http://www.inaturalist.org/observations/584617,https://inaturalist-open-data.s3.amazonaws.com/photos/743135/medium.JPG,"A native Humboldt strain Lahontan Cutthroat Trout in Little Jack Creek, a tributary to Maggie Creek near the town of Carlin, Nevada.  Specimen was collected via alive via-electro fishing, photographed in aquarium, and released back into stream.

",41.002239,-116.271786,,False,Lahontan Cutthroat Trout,Oncorhynchus henshawi,Lahontan Cutthroat Trout,Actinopterygii,1316404,Cutthroat Trout
584620,2013-06-03,http://www.inaturalist.org/observations/584620,https://inaturalist-open-data.s3.amazonaws.com/photos/743137/medium.JPG,"Native Humboldt strain Lahontan Cutthroat Trout captured via electro-fishing, photographed in aquarium and released.",41.073939,-116.169733,,False,Lahontan Cutthroat Trout,Oncorhynchus henshawi,Lahontan Cutthroat Trout,Actinopterygii,1316404,Cutthroat Trout
602845,2013-06-17,http://www.inaturalist.org/observations/602845,https://inaturalist-open-data.s3.amazonaws.com/photos/759250/medium.jpg,"Humboldt-strain LCT from N. Fork, Battle Creek in Humboldt County, NV (near town of Denio).

Specimen #1",41.443764,-118.938269,,False,Lahontan Cutthroat Trout,Oncorhynchus henshawi,Lahontan Cutthroat Trout,Actinopterygii,1316404,Cutthroat Trout
602847,2013-06-17,http://www.inaturalist.org/observations/602847,https://inaturalist-open-data.s3.amazonaws.com/photos/759254/medium.JPG,"Humboldt strain Lahontan Cutthroat Trout from N. Fork Battle Creek, near Denio, NV, in Humboldt County.  This is a second specimen sampled at the same location as the previous one.

",41.443442,-118.938097,,False,Lahontan Cutthroat Trout,Oncorhynchus henshawi,Lahontan Cutthroat Trout,Actinopterygii,1316404,Cutthroat Trout
602894,2013-07-23,http://www.inaturalist.org/observations/602894,https://inaturalist-open-data.s3.amazonaws.com/photos/759264/medium.JPG,"Non-native brown trout caught while electroshocking in Salmon Falls Creek, NV.  

Also visible in the aquarium where I photogrphaed fish are a Lahontan redside shiner and a dace",41.748403,-114.894322,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
602902,2013-07-24,http://www.inaturalist.org/observations/602902,https://inaturalist-open-data.s3.amazonaws.com/photos/759268/medium.JPG,Native redband trout caught via electro-fishing survey on S. Fork Salmon Falls Creek drainage.  ,41.781269,-115.004333,,False,Columbia River Redband Trout,Oncorhynchus mykiss gairdneri,Columbia River Redband Trout,Actinopterygii,237543,Redband Trout
602903,2013-07-24,http://www.inaturalist.org/observations/602903,https://inaturalist-open-data.s3.amazonaws.com/photos/759271/medium.JPG,Non-native brown trout sampled while conducting electro fishing survey in S. Fork Salmon Falls Creek.,41.781269,-115.004333,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
689935,2004-09-19,http://www.inaturalist.org/observations/689935,https://static.inaturalist.org/photos/867489/medium.jpg,"migratory-sized Lahontan cutthroat trout angled from a 
pond above a small natural waterfall.  Radio-tagged for a telemetry study by Steve Ambruzs (who took photo)",41.708099,-115.361166,,False,Lahontan Cutthroat Trout,Oncorhynchus henshawi,Lahontan Cutthroat Trout,Actinopterygii,1316404,Cutthroat Trout
1085889,2014-07-07,http://www.inaturalist.org/observations/1085889,https://inaturalist-open-data.s3.amazonaws.com/photos/1364051/medium.JPG,"Redband trout, Middle Fork Canyon Creek, Salmon Falls basin, Nevada.",41.811935,-115.13896,,False,Columbia River Redband Trout,Oncorhynchus mykiss gairdneri,Columbia River Redband Trout,Actinopterygii,237543,Redband Trout
1085891,2014-07-08,http://www.inaturalist.org/observations/1085891,https://inaturalist-open-data.s3.amazonaws.com/photos/1364054/medium.JPG,"Redband Trout, Middle Fork Canyon Creek, Salmon Falls basin, Nevada.",41.85032,-115.16183,,False,Columbia River Redband Trout,Oncorhynchus mykiss gairdneri,Columbia River Redband Trout,Actinopterygii,237543,Redband Trout
1085895,2014-07-08,http://www.inaturalist.org/observations/1085895,https://inaturalist-open-data.s3.amazonaws.com/photos/1364059/medium.JPG,"Redband Trout, Middle Fork Canyon Creek, Salmon Falls basin, Nevada.",41.85032,-115.16183,,False,Columbia River Redband Trout,Oncorhynchus mykiss gairdneri,Columbia River Redband Trout,Actinopterygii,237543,Redband Trout
1085899,2014-07-10,http://www.inaturalist.org/observations/1085899,https://inaturalist-open-data.s3.amazonaws.com/photos/1364065/medium.JPG,"Redband trout, Middle Fork Deer Creek, Salmon Falls basin, Nevada.",41.619806,-115.059396,,False,Columbia River Redband Trout,Oncorhynchus mykiss gairdneri,Columbia River Redband Trout,Actinopterygii,237543,Redband Trout
1085910,2014-07-10,http://www.inaturalist.org/observations/1085910,https://inaturalist-open-data.s3.amazonaws.com/photos/1364083/medium.JPG,"Redband trout, North Creek, Salmon Fall Creek basin, Nevada.",41.920296,-115.012474,,False,Columbia River Redband Trout,Oncorhynchus mykiss gairdneri,Columbia River Redband Trout,Actinopterygii,237543,Redband Trout
1085922,2013-08-08,http://www.inaturalist.org/observations/1085922,https://inaturalist-open-data.s3.amazonaws.com/photos/1364104/medium.JPG,"Redband trout, Camp Creek, Salmon Falls Creek basin, Nevada.",41.71716,-115.236615,,False,Columbia River Redband Trout,Oncorhynchus mykiss gairdneri,Columbia River Redband Trout,Actinopterygii,237543,Redband Trout
1085925,2013-08-08,http://www.inaturalist.org/observations/1085925,https://inaturalist-open-data.s3.amazonaws.com/photos/1364107/medium.JPG,"Redband trout, Camp Creek, Salmon Falls Creek basin, Nevada.",41.71716,-115.236615,,False,Columbia River Redband Trout,Oncorhynchus mykiss gairdneri,Columbia River Redband Trout,Actinopterygii,237543,Redband Trout
1085931,2013-08-08,http://www.inaturalist.org/observations/1085931,https://inaturalist-open-data.s3.amazonaws.com/photos/1364113/medium.JPG,"Redband trout, Camp Creek, Salmon Falls Creek basin, Nevada.",41.71716,-115.236615,,False,Columbia River Redband Trout,Oncorhynchus mykiss gairdneri,Columbia River Redband Trout,Actinopterygii,237543,Redband Trout
1226213,2015-02-07,http://www.inaturalist.org/observations/1226213,https://inaturalist-open-data.s3.amazonaws.com/photos/1544712/medium.jpg,"Apparently the pond is stocked periodically, so this may be 99% captured/cultivated. Nonetheless, the kid who caught it was proud to have me take its picture for iNat.",36.065649,-115.111595,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
1575525,2015-06-01,http://www.inaturalist.org/observations/1575525,,,39.5269092,-119.8090577,,False,Lahontan cutthroat trout (Oncorhynchus clarkii henshawi),Oncorhynchus henshawi henshawi,Lahontan Cutthroat Trout,Actinopterygii,1520371,Cutthroat Trout
2461026,2015-11-19,http://www.inaturalist.org/observations/2461026,https://inaturalist-open-data.s3.amazonaws.com/photos/2753758/medium.JPG,Rainbow Trout,35.955648,-114.845897,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
4049701,2016-09-05,http://www.inaturalist.org/observations/4049701,https://inaturalist-open-data.s3.amazonaws.com/photos/4795586/medium.jpeg,,36.4224788928,-115.7321050649,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
6334696,2014-03-01,https://www.inaturalist.org/observations/6334696,https://inaturalist-open-data.s3.amazonaws.com/photos/7982764/medium.jpeg,,39.8756242024,-119.4921970367,,False,Lahontan Cutthroat Trout,Oncorhynchus henshawi henshawi,Lahontan Cutthroat Trout,Actinopterygii,1520371,Cutthroat Trout
8617394,2017-10-27,https://www.inaturalist.org/observations/8617394,https://inaturalist-open-data.s3.amazonaws.com/photos/11528399/medium.jpg,,39.8798273857,-119.502724707,,False,Lahontan Cutthroat Trout,Oncorhynchus henshawi henshawi,Lahontan Cutthroat Trout,Actinopterygii,1520371,Cutthroat Trout
10970213,2018-04-14,https://www.inaturalist.org/observations/10970213,https://inaturalist-open-data.s3.amazonaws.com/photos/15442746/medium.jpg,10+ inches but in a tiny thread of stream that won't last long,38.9738957538,-119.9409735203,,False,Brook Trout,Salvelinus fontinalis,Brook Trout,Actinopterygii,49596,Brook Trout
14529328,2018-07-11,https://www.inaturalist.org/observations/14529328,https://inaturalist-open-data.s3.amazonaws.com/photos/21636718/medium.jpg,,39.1710192042,-119.8938925244,,False,Lahontan Cutthroat Trout,Oncorhynchus henshawi henshawi,Lahontan Cutthroat Trout,Actinopterygii,1520371,Cutthroat Trout
