id,observed_on,url,image_url,description,latitude,longitude,geoprivacy,coordinates_obscured,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,generic_name
95975,2012-06-24,http://www.inaturalist.org/observations/95975,https://static.inaturalist.org/photos/139629/medium.jpg,Shallow stream contained numerous individuals. At least 100 were seen in a 30-yard stretch. ,40.7789465835,-111.6776060572,,False,Black-spotted Cutthroat Trout,Oncorhynchus virginalis,Rocky Mountain Cutthroat Trout,Actinopterygii,1316977,Cutthroat Trout
226288,2013-03-30,http://www.inaturalist.org/observations/226288,https://static.inaturalist.org/photos/285003/medium.jpg,"Bonneville Cutthroat Trout (Oncorhynchus clarki utah). A subspecies of cutthroat trout native to tributaries of the Great Salt Lake. 

http://www.sltrib.com/sltrib/politics/52970749-90/butte-creek-red-chevron.html.csp",40.7676385005,-111.8247807026,,False,Bonneville Cutthroat Trout,Oncorhynchus virginalis utah,Bonneville Cutthroat Trout,Actinopterygii,1520377,Cutthroat Trout
278107,2013-05-19,http://www.inaturalist.org/observations/278107,https://inaturalist-open-data.s3.amazonaws.com/photos/344141/medium.jpg,"FS biologist caught 4 native trout in Boulder Creek, Dixie NF, cloudy cool, 11 AM",38.0026666667,-111.4701666667,,False,Colorado River Cutthroat Trout,Oncorhynchus virginalis,Rocky Mountain Cutthroat Trout,Actinopterygii,1316977,Cutthroat Trout
544532,2014-02-23,http://www.inaturalist.org/observations/544532,https://static.inaturalist.org/photos/693324/medium.jpg,,40.765234,-111.824169,,False,Bonneville Cutthroat Trout,Oncorhynchus virginalis utah,Bonneville Cutthroat Trout,Actinopterygii,1520377,Cutthroat Trout
756459,2014-06-20,http://www.inaturalist.org/observations/756459,https://inaturalist-open-data.s3.amazonaws.com/photos/950845/medium.jpg,Small brown caught on elk hair caddus,40.505446,-111.450119,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
759769,2013-08-02,http://www.inaturalist.org/observations/759769,https://inaturalist-open-data.s3.amazonaws.com/photos/954970/medium.jpg,"""A"" Section Green River",40.903607,-109.380312,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
783628,2014-07-12,http://www.inaturalist.org/observations/783628,https://inaturalist-open-data.s3.amazonaws.com/photos/984552/medium.jpg,,40.5337616667,-110.87448,,False,Brook Trout,Salvelinus fontinalis,Brook Trout,Actinopterygii,49596,Brook Trout
783629,2014-07-12,http://www.inaturalist.org/observations/783629,https://inaturalist-open-data.s3.amazonaws.com/photos/984551/medium.jpg,Beaver dam is being built on this section slowing the flow considerably. ,40.5346033333,-110.8752033333,,False,Brook Trout,Salvelinus fontinalis,Brook Trout,Actinopterygii,49596,Brook Trout
817162,2014-08-04,http://www.inaturalist.org/observations/817162,https://inaturalist-open-data.s3.amazonaws.com/photos/1030646/medium.jpg,These seem to have a yellowish slash rather than red but seem to be cutthroat. Maybe. Hybrids?,40.1544805,-111.2963783333,,False,Black-spotted Cutthroat Trout,Oncorhynchus virginalis,Rocky Mountain Cutthroat Trout,Actinopterygii,1316977,Cutthroat Trout
817163,2014-08-04,http://www.inaturalist.org/observations/817163,https://inaturalist-open-data.s3.amazonaws.com/photos/1030648/medium.jpg,Not sure if these are cutthroat ,40.1543555,-111.2972783333,,False,Black-spotted Cutthroat Trout,Oncorhynchus virginalis,Rocky Mountain Cutthroat Trout,Actinopterygii,1316977,Cutthroat Trout
848554,2013-09-18,http://www.inaturalist.org/observations/848554,https://inaturalist-open-data.s3.amazonaws.com/photos/1074311/medium.JPG,,40.640823,-111.633439,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
848556,2010-08-27,http://www.inaturalist.org/observations/848556,https://inaturalist-open-data.s3.amazonaws.com/photos/1074338/medium.JPG,,38.30885,-111.463972,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
848570,2010-06-17,http://www.inaturalist.org/observations/848570,https://inaturalist-open-data.s3.amazonaws.com/photos/1074382/medium.JPG,,40.907317,-109.419751,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
848574,2010-09-05,http://www.inaturalist.org/observations/848574,https://inaturalist-open-data.s3.amazonaws.com/photos/1074386/medium.jpg,,40.907317,-109.419751,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
848579,2013-08-31,http://www.inaturalist.org/observations/848579,https://inaturalist-open-data.s3.amazonaws.com/photos/1074391/medium.JPG,,40.910625,-109.313063,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
848580,2013-08-31,http://www.inaturalist.org/observations/848580,https://inaturalist-open-data.s3.amazonaws.com/photos/1074392/medium.JPG,,40.910625,-109.313063,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
848642,2013-07-25,http://www.inaturalist.org/observations/848642,https://inaturalist-open-data.s3.amazonaws.com/photos/1074462/medium.JPG,,40.570933,-111.726831,,False,Brook Trout,Salvelinus fontinalis,Brook Trout,Actinopterygii,49596,Brook Trout
848645,2013-07-25,http://www.inaturalist.org/observations/848645,https://inaturalist-open-data.s3.amazonaws.com/photos/1074467/medium.JPG,,40.570933,-111.726831,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
848658,2010-10-21,http://www.inaturalist.org/observations/848658,https://inaturalist-open-data.s3.amazonaws.com/photos/1074486/medium.jpg,,40.559695,-111.431595,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
848662,2009-04-25,http://www.inaturalist.org/observations/848662,https://inaturalist-open-data.s3.amazonaws.com/photos/1074498/medium.jpg,,40.603983,-111.316094,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
848663,2009-07-19,http://www.inaturalist.org/observations/848663,https://inaturalist-open-data.s3.amazonaws.com/photos/1074499/medium.jpg,,40.603983,-111.316094,,False,Bonneville Cutthroat Trout,Oncorhynchus virginalis utah,Bonneville Cutthroat Trout,Actinopterygii,1520377,Cutthroat Trout
848665,2009-08-09,http://www.inaturalist.org/observations/848665,https://inaturalist-open-data.s3.amazonaws.com/photos/1074502/medium.jpg,,40.603983,-111.316094,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
848666,2009-10-18,http://www.inaturalist.org/observations/848666,https://inaturalist-open-data.s3.amazonaws.com/photos/1074503/medium.jpg,,40.603983,-111.316094,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
848668,2009-10-18,http://www.inaturalist.org/observations/848668,https://inaturalist-open-data.s3.amazonaws.com/photos/1074505/medium.jpg,,40.603983,-111.316094,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
848681,2010-06-27,http://www.inaturalist.org/observations/848681,https://inaturalist-open-data.s3.amazonaws.com/photos/1074528/medium.JPG,,40.900396,-111.404009,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
848702,2013-05-05,http://www.inaturalist.org/observations/848702,https://inaturalist-open-data.s3.amazonaws.com/photos/1074560/medium.JPG,,40.444186,-111.704089,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
848704,2013-05-05,http://www.inaturalist.org/observations/848704,https://inaturalist-open-data.s3.amazonaws.com/photos/1074563/medium.JPG,,40.444186,-111.704089,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
848705,2013-05-07,http://www.inaturalist.org/observations/848705,https://inaturalist-open-data.s3.amazonaws.com/photos/1074566/medium.JPG,,40.444186,-111.704089,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
848706,2013-07-26,http://www.inaturalist.org/observations/848706,https://inaturalist-open-data.s3.amazonaws.com/photos/1074569/medium.JPG,,40.444186,-111.704089,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
