id,observed_on,url,image_url,description,latitude,longitude,geoprivacy,coordinates_obscured,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,generic_name
48938,2006-06-10,http://www.inaturalist.org/observations/48938,https://static.inaturalist.org/photos/78563/medium.jpg,Cutthroat trout headed up stream. Le Hardy Rapids.,44.6069071341,-110.3835439682,,False,Yellowstone Cutthroat Trout,Oncorhynchus virginalis bouvieri,Yellowstone Cutthroat Trout,Actinopterygii,1520370,Cutthroat Trout
122591,2010-01-08,http://www.inaturalist.org/observations/122591,https://inaturalist-open-data.s3.amazonaws.com/photos/174747/medium.jpg,"Cutthroat trout caught and released on the Greybull River in Wyoming.  The Greybull has the most pristine and intact cutthroat population in the US due to some irrigation diversions that prevented brown, rainbow and brook trout from moving into their habitat.  The entire upper watershed is protected by the Pitchfork Ranch owners who prohibit almost any fishing.  We were lucky enough to get a chance to fish it while we were doing some restoration to one of the side creeks 2 years ago.  The area also is home to over 8,000 elk, grizzlies and a large wolf population.",44.1095052241,-109.1643930352,,False,Yellowstone Cutthroat Trout,Oncorhynchus virginalis bouvieri,Yellowstone Cutthroat Trout,Actinopterygii,1520370,Cutthroat Trout
369756,2013-08-17,http://www.inaturalist.org/observations/369756,https://inaturalist-open-data.s3.amazonaws.com/photos/462069/medium.jpg,Not sure on the subspecies but here is a gorgeous little brook trout.,43.5025,-110.3648333333,,False,Brook Trout,Salvelinus fontinalis,Brook Trout,Actinopterygii,49596,Brook Trout
384388,2013-08-24,http://www.inaturalist.org/observations/384388,https://inaturalist-open-data.s3.amazonaws.com/photos/480320/medium.jpg,Nice little cutthroat.,43.4159777381,-110.5196132523,,True,Snake River Fine-spotted Cutthroat Trout,Oncorhynchus virginalis behnkei,Snake River Fine-spotted Cutthroat Trout,Actinopterygii,1520369,Cutthroat Trout
389165,2013-07-15,http://www.inaturalist.org/observations/389165,https://inaturalist-open-data.s3.amazonaws.com/photos/486816/medium.jpg,,44.508,-110.8365,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
406235,2012-06-23,http://www.inaturalist.org/observations/406235,https://inaturalist-open-data.s3.amazonaws.com/photos/508393/medium.JPG,,42.752612,-108.805512,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
585063,2012-07-15,http://www.inaturalist.org/observations/585063,https://inaturalist-open-data.s3.amazonaws.com/photos/744150/medium.jpg,"Colorado River cutthroat trout angled from habitat structures installed in Muddy Creek (WY) as part of a restoration project (WGFD, BLM, NRCS, TU).",41.462154,-107.473154,,False,Rocky Mountain Cutthroat Trout,Oncorhynchus virginalis,Rocky Mountain Cutthroat Trout,Actinopterygii,1316977,Cutthroat Trout
756431,2012-10-14,http://www.inaturalist.org/observations/756431,https://inaturalist-open-data.s3.amazonaws.com/photos/950820/medium.JPG,"Bonneville Cutthroat trout tagged for the Evanston, WY Adopt-a-Trout Program. The middle school kids named this fish Elmo. Elmo was tracked up until March of 2013 and was never found again despite frequent tracking flights and drives  throughout the drainage. Elmo's tag battery died fall of 2013. ",41.129797,-110.884709,,False,Bonneville Cutthroat Trout,Oncorhynchus virginalis utah,Bonneville Cutthroat Trout,Actinopterygii,1520377,Cutthroat Trout
756450,2012-09-23,http://www.inaturalist.org/observations/756450,https://inaturalist-open-data.s3.amazonaws.com/photos/950838/medium.JPG,"Bonneville Cutthroat trout tagged for the Evanston, WY Adopt-a-Trout Program. The middle school kids named this fish Tinkles. Tinkles was tracked up until the tag battery died in fall of 2013. Tinkles was tagged in the Bear River and was tracked up into a tributary during the spring of 2013. This data shows that Bonneville Cutthroat trout are still using tributaries of the upper Bear River.  ",41.20721,-110.872833,,False,Bonneville Cutthroat Trout,Oncorhynchus virginalis utah,Bonneville Cutthroat Trout,Actinopterygii,1520377,Cutthroat Trout
756465,2012-10-15,http://www.inaturalist.org/observations/756465,https://inaturalist-open-data.s3.amazonaws.com/photos/950857/medium.JPG,"Bonneville Cutthroat Trout tagged for the Evanston, WY Adopt-a-Trout program. The middle school kids named this fish Shimmer. Shimmer was tracked until she died in a field between mid June 2013 and mid July 2013. Shimmer moved 36 river miles up stream between May 10th and June 17th. Shimmer's tag was found in a irrigated field on July 29, 2013. It can be assumed that on Shimmers way back down stream she was caught in an irrigation ditch and could not get out. Trout Unlimited is currently working to address these issues in the Upper Bear River. ",41.13012,-110.884666,,False,Bonneville Cutthroat Trout,Oncorhynchus virginalis utah,Bonneville Cutthroat Trout,Actinopterygii,1520377,Cutthroat Trout
756520,2013-08-23,http://www.inaturalist.org/observations/756520,https://inaturalist-open-data.s3.amazonaws.com/photos/950939/medium.jpg,Caught and released. ,44.707241,-109.84264,,False,Yellowstone Cutthroat Trout,Oncorhynchus virginalis bouvieri,Yellowstone Cutthroat Trout,Actinopterygii,1520370,Cutthroat Trout
809323,2014-07-26,http://www.inaturalist.org/observations/809323,https://inaturalist-open-data.s3.amazonaws.com/photos/1020364/medium.JPG,Caught a Yellowstone cutthroat trout inside Yellowstone National Park at Cascade Lake. ,44.751793,-110.521517,,False,Yellowstone Cutthroat Trout,Oncorhynchus virginalis bouvieri,Yellowstone Cutthroat Trout,Actinopterygii,1520370,Cutthroat Trout
