,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355
0,0.9999998807907104,0.9645950198173523,0.9418942928314209,0.9144189953804016,0.9047167897224426,0.8609828948974609,0.8078954219818115,0.7615591287612915,0.6934581398963928,0.6479375958442688,0.6581107974052429,0.6325944662094116,0.6312201619148254,0.644289493560791,0.6276851296424866,0.6476023197174072,0.6280628442764282,0.6108108162879944,0.6219565868377686,0.6239000558853149,0.5796281099319458,0.5722957849502563,0.5725172758102417,0.5717615485191345,0.5531247854232788,0.5445151925086975,0.5250695943832397,0.5186647772789001,0.49766892194747925,0.49617040157318115,0.4392171800136566,0.41845595836639404,0.3869689702987671,0.34902289509773254,0.35761070251464844,0.3770761787891388,0.37347638607025146,0.3906826078891754,0.4485139846801758,0.5013307929039001,0.5764573812484741,0.5638715028762817,0.49006927013397217,0.4082324504852295,0.42785438895225525,0.46188291907310486,0.4896194040775299,0.47319069504737854,0.4415360689163208,0.5172085165977478,0.5719120502471924,0.5841261148452759,0.6049002408981323,0.6235201954841614,0.6569194197654724,0.6681714057922363,0.7074556350708008,0.7058255672454834,0.7422051429748535,0.750072181224823,0.7631992101669312,0.7723185420036316,0.7813472747802734,0.7925821542739868,0.8151403069496155,0.8306785821914673,0.8322941064834595,0.8805921077728271,0.9055019617080688,0.9058745503425598,0.9395256638526917,0.9555370807647705
5,0.9645950198173523,1.0000001192092896,0.9718761444091797,0.9336280822753906,0.9297240972518921,0.8941646218299866,0.8467313647270203,0.7936955690383911,0.7257134318351746,0.6867778897285461,0.6922198534011841,0.66015625,0.6584063768386841,0.667771577835083,0.6439046859741211,0.6622448563575745,0.6444337368011475,0.6292262673377991,0.6371486186981201,0.6360154151916504,0.5842693448066711,0.5777168869972229,0.5798032283782959,0.5731692910194397,0.555498480796814,0.5377222299575806,0.5150740742683411,0.5139605402946472,0.4984244704246521,0.5104842185974121,0.4500378668308258,0.42538830637931824,0.3903401792049408,0.35333630442619324,0.3607481122016907,0.3796086013317108,0.37785306572914124,0.39481496810913086,0.4547099769115448,0.5134162902832031,0.5834100246429443,0.5719128251075745,0.4942295253276825,0.4192080795764923,0.429849773645401,0.4538361430168152,0.4759008288383484,0.47041505575180054,0.4415799081325531,0.5024071335792542,0.5686400532722473,0.5903101563453674,0.606993556022644,0.6293395757675171,0.6660680770874023,0.6772592067718506,0.7124834060668945,0.7192939519882202,0.7440382838249207,0.7437328100204468,0.7537686824798584,0.7631759643554688,0.773003339767456,0.7802455425262451,0.8013806343078613,0.8189599514007568,0.8147450685501099,0.8583289980888367,0.8758297562599182,0.8851451873779297,0.9174787402153015,0.934027910232544
10,0.9418942928314209,0.9718761444091797,1.0,0.9501047134399414,0.9402427673339844,0.9001489281654358,0.8538192510604858,0.7996121644973755,0.7417416572570801,0.7183215618133545,0.7209655046463013,0.6858335733413696,0.6788338422775269,0.6895848512649536,0.6692399978637695,0.6806590557098389,0.6478314995765686,0.6283993721008301,0.6339572668075562,0.6273061037063599,0.5762019753456116,0.5707597732543945,0.5698387622833252,0.5612518787384033,0.5438701510429382,0.5278536677360535,0.5079664587974548,0.5082448124885559,0.4981093108654022,0.5108236074447632,0.4529443681240082,0.41985023021698,0.3853498101234436,0.3466472029685974,0.35818806290626526,0.3752586245536804,0.3766852915287018,0.39592882990837097,0.4512622058391571,0.5134739875793457,0.5739203691482544,0.5543678998947144,0.47449642419815063,0.4034593999385834,0.41240063309669495,0.43374744057655334,0.46230125427246094,0.4630962014198303,0.4274109899997711,0.4841597080230713,0.5502562522888184,0.5607918500900269,0.5802364349365234,0.5984913110733032,0.6382623314857483,0.6515350341796875,0.6843171119689941,0.6882878541946411,0.7095643281936646,0.7082085013389587,0.7135728597640991,0.7182539105415344,0.7286286354064941,0.7331563234329224,0.7512857913970947,0.7783055901527405,0.7765575647354126,0.8218251466751099,0.8423381447792053,0.8605376482009888,0.894084095954895,0.9305946230888367
15,0.9144189953804016,0.9336280822753906,0.9501047134399414,1.0000001192092896,0.9595818519592285,0.9520372748374939,0.9182654619216919,0.8659676313400269,0.8151414394378662,0.7839629650115967,0.7838428020477295,0.7570587396621704,0.7529745697975159,0.7608263492584229,0.7264753580093384,0.7369406223297119,0.7044721245765686,0.6681631803512573,0.6812791228294373,0.6724594831466675,0.6171795725822449,0.5962594151496887,0.5941793322563171,0.5821988582611084,0.5637829303741455,0.552954375743866,0.5394176840782166,0.5326317548751831,0.5167633295059204,0.5207022428512573,0.4569748640060425,0.425462007522583,0.37889033555984497,0.34235265851020813,0.3599206507205963,0.3786773681640625,0.377277672290802,0.4022590219974518,0.46285727620124817,0.5223957896232605,0.5854442119598389,0.5587725043296814,0.48399102687835693,0.4089077115058899,0.42884862422943115,0.4549119174480438,0.47757160663604736,0.46884483098983765,0.45014065504074097,0.49906307458877563,0.5523121356964111,0.5564320087432861,0.5707237124443054,0.5853009819984436,0.6316606998443604,0.6425492763519287,0.6675148606300354,0.6569727659225464,0.6739643812179565,0.6741633415222168,0.6883507966995239,0.6902304887771606,0.7003165483474731,0.69966721534729,0.7134963274002075,0.7300926446914673,0.7279398441314697,0.7786477208137512,0.8023887872695923,0.813522219657898,0.8422341346740723,0.8754987716674805
20,0.9047167897224426,0.9297240972518921,0.9402427673339844,0.9595818519592285,1.0,0.9521756768226624,0.9210572242736816,0.8676965832710266,0.8154973983764648,0.7938942909240723,0.7912112474441528,0.7736115455627441,0.7633991241455078,0.7634447813034058,0.7294467687606812,0.7410104274749756,0.7103594541549683,0.6794017553329468,0.6812525391578674,0.6739567518234253,0.6222907304763794,0.6035033464431763,0.5972229242324829,0.5837094187736511,0.5643404722213745,0.5514528155326843,0.5390377640724182,0.5315282940864563,0.5135908722877502,0.5154996514320374,0.4585126042366028,0.42691510915756226,0.389753520488739,0.35203349590301514,0.375203937292099,0.39475685358047485,0.39258649945259094,0.41446927189826965,0.4667030870914459,0.5239813327789307,0.5777395963668823,0.5601024627685547,0.498748779296875,0.4053073227405548,0.40965789556503296,0.4464494585990906,0.4777979254722595,0.47508740425109863,0.45009487867355347,0.5060808062553406,0.5605820417404175,0.5684716701507568,0.5849273800849915,0.5939699411392212,0.6264052391052246,0.6317976117134094,0.6620408296585083,0.6518979072570801,0.6730030179023743,0.672264814376831,0.6813396215438843,0.6770438551902771,0.6773349642753601,0.6827670931816101,0.7114137411117554,0.7271856069564819,0.7320446372032166,0.7783598899841309,0.7996010780334473,0.8149892091751099,0.8452837467193604,0.8872043490409851
25,0.8609828948974609,0.8941646218299866,0.9001489281654358,0.9520372748374939,0.9521756768226624,1.0,0.9552571773529053,0.9072614312171936,0.8650918006896973,0.8446316719055176,0.8291782736778259,0.7991482019424438,0.7866681814193726,0.7924501895904541,0.7304825186729431,0.7469078898429871,0.7141113877296448,0.6805649995803833,0.690348744392395,0.6775257587432861,0.621759295463562,0.6026695966720581,0.599694550037384,0.5821359157562256,0.5625156760215759,0.5477237701416016,0.5365747809410095,0.5367448329925537,0.5241369009017944,0.5394464135169983,0.4752025604248047,0.44872066378593445,0.40753668546676636,0.3738033175468445,0.39371272921562195,0.42243197560310364,0.4186475872993469,0.44066518545150757,0.4918818473815918,0.5524787902832031,0.5967803001403809,0.5762190222740173,0.5148827433586121,0.4486820697784424,0.45858538150787354,0.48923245072364807,0.5136629939079285,0.499294251203537,0.49004268646240234,0.5240145325660706,0.5767847895622253,0.5800641775131226,0.597416341304779,0.5992684960365295,0.6298352479934692,0.627496063709259,0.6542478203773499,0.6351025104522705,0.643767774105072,0.6469101905822754,0.6591638922691345,0.653434157371521,0.6564444303512573,0.6538165211677551,0.673898458480835,0.681032657623291,0.6757504940032959,0.7273223400115967,0.7462255954742432,0.7540744543075562,0.7837189435958862,0.8173507452011108
30,0.8078954219818115,0.8467313647270203,0.8538192510604858,0.9182654619216919,0.9210572242736816,0.9552571773529053,1.000000238418579,0.9426876306533813,0.8781899809837341,0.8364072442054749,0.820279061794281,0.8076915740966797,0.789880096912384,0.770868182182312,0.7175164222717285,0.7254565954208374,0.7004940509796143,0.6611877679824829,0.6717504858970642,0.6518512964248657,0.5996913909912109,0.5783425569534302,0.5711339712142944,0.5517998933792114,0.5344074964523315,0.5244449377059937,0.515705943107605,0.5141081809997559,0.4960707128047943,0.5082076191902161,0.44223061203956604,0.4178083837032318,0.37911176681518555,0.34320569038391113,0.35379695892333984,0.38045164942741394,0.3765447735786438,0.3933693766593933,0.44246339797973633,0.4950910210609436,0.5397516489028931,0.5202910900115967,0.4667266011238098,0.40072494745254517,0.41014859080314636,0.447297066450119,0.4591715335845947,0.45014631748199463,0.44163113832473755,0.46838894486427307,0.5235673189163208,0.5292404890060425,0.5519331097602844,0.5527009963989258,0.5913593173027039,0.5965443849563599,0.614206850528717,0.6025567054748535,0.6142385005950928,0.6113108396530151,0.619130551815033,0.6114695072174072,0.6114773750305176,0.6100578308105469,0.62396240234375,0.6331727504730225,0.6299102306365967,0.6782392263412476,0.696943461894989,0.7057915925979614,0.7359936833381653,0.766243577003479
35,0.7615591287612915,0.7936955690383911,0.7996121644973755,0.8659676313400269,0.8676965832710266,0.9072614312171936,0.9426876306533813,1.0000001192092896,0.9463790655136108,0.8937445878982544,0.8876633644104004,0.8684464693069458,0.8413007855415344,0.828957200050354,0.7776947021484375,0.7804033756256104,0.7438859939575195,0.7045114636421204,0.6988462209701538,0.6684743165969849,0.6195499897003174,0.5942058563232422,0.5826258063316345,0.5617896318435669,0.5462884902954102,0.5389403104782104,0.5341095328330994,0.5282747745513916,0.5113486051559448,0.5237042307853699,0.4491814374923706,0.4164084196090698,0.3803601562976837,0.3477834463119507,0.3525328040122986,0.37556201219558716,0.37009871006011963,0.3818875551223755,0.4319721460342407,0.4850561320781708,0.5300471186637878,0.5096002221107483,0.455143541097641,0.4116516709327698,0.4295315146446228,0.466818243265152,0.47337451577186584,0.4518199861049652,0.44067007303237915,0.4703065752983093,0.5239717960357666,0.5163468718528748,0.546394944190979,0.5306578874588013,0.5644801259040833,0.5680942535400391,0.585044264793396,0.5694597959518433,0.5806140899658203,0.584699809551239,0.5938749313354492,0.5777623057365417,0.5749243497848511,0.5726345181465149,0.5935643911361694,0.5982289910316467,0.5786052942276001,0.6240952014923096,0.6474329233169556,0.6595181822776794,0.683927595615387,0.723546028137207
40,0.6934581398963928,0.7257134318351746,0.7417416572570801,0.8151414394378662,0.8154973983764648,0.8650918006896973,0.8781899809837341,0.9463790655136108,1.0,0.93937087059021,0.9214377403259277,0.8755127787590027,0.8543562889099121,0.8575555086135864,0.796137273311615,0.7960563898086548,0.750695526599884,0.7073270678520203,0.691011905670166,0.6501100659370422,0.6064879298210144,0.5774015188217163,0.5741854310035706,0.5620734691619873,0.5427310466766357,0.536971926689148,0.5383610129356384,0.5323492884635925,0.5172340273857117,0.5162081718444824,0.4377133548259735,0.41379237174987793,0.36596065759658813,0.34625595808029175,0.37791094183921814,0.39733433723449707,0.3770058751106262,0.3923136293888092,0.4312884211540222,0.4862229824066162,0.5201301574707031,0.48753267526626587,0.43513286113739014,0.40079420804977417,0.439206600189209,0.45154890418052673,0.46294111013412476,0.45145383477211,0.45510613918304443,0.4631026089191437,0.5072138905525208,0.47990918159484863,0.5062617063522339,0.47536391019821167,0.5059891939163208,0.5034511685371399,0.5043497681617737,0.47921326756477356,0.4993363618850708,0.4915050268173218,0.5055309534072876,0.4879218339920044,0.48678141832351685,0.48856568336486816,0.5179991126060486,0.5196842551231384,0.49455559253692627,0.5470203757286072,0.5657498836517334,0.5848140120506287,0.6121528744697571,0.6655184030532837
45,0.6479375958442688,0.6867778897285461,0.7183215618133545,0.7839629650115967,0.7938942909240723,0.8446316719055176,0.8364072442054749,0.8937445878982544,0.93937087059021,0.9999999403953552,0.9612835049629211,0.9075412750244141,0.8790732622146606,0.8780931234359741,0.8156042098999023,0.8087985515594482,0.7549715638160706,0.7111315727233887,0.6865160465240479,0.6528321504592896,0.6063570976257324,0.5854644775390625,0.5900033116340637,0.5806043148040771,0.5547683238983154,0.5468255877494812,0.5476274490356445,0.5378373265266418,0.5214865207672119,0.5278977155685425,0.4634641408920288,0.43529975414276123,0.3853157162666321,0.362452894449234,0.40009477734565735,0.41905465722084045,0.4071234166622162,0.4257412254810333,0.44559159874916077,0.5003184676170349,0.5136578679084778,0.48383212089538574,0.4355006814002991,0.3994993269443512,0.429808109998703,0.4457007646560669,0.45634761452674866,0.4569891691207886,0.4647749364376068,0.4713332951068878,0.49918121099472046,0.4824714958667755,0.5083606243133545,0.4742356836795807,0.49708205461502075,0.4942624568939209,0.4877394139766693,0.4506586194038391,0.4612674415111542,0.45489585399627686,0.4641178250312805,0.44580718874931335,0.4365707039833069,0.4314078092575073,0.4697692096233368,0.47384732961654663,0.4506707191467285,0.494788259267807,0.5209565162658691,0.5351117849349976,0.5630563497543335,0.6350740194320679
