,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355
0,1.0000001192092896,0.8724437952041626,0.7632943391799927,0.6707465648651123,0.6172321438789368,0.5577701926231384,0.5570693016052246,0.542471170425415,0.5324492454528809,0.5113072991371155,0.5002264976501465,0.5031569600105286,0.49287915229797363,0.4756213426589966,0.4695289731025696,0.4601595103740692,0.4421635568141937,0.45692774653434753,0.4683194160461426,0.47743797302246094,0.46260762214660645,0.4361215829849243,0.45243269205093384,0.4477323889732361,0.44932422041893005,0.4449247717857361,0.45651620626449585,0.48659855127334595,0.5067699551582336,0.5213196277618408,0.5481550693511963,0.5490697026252747,0.5064213871955872,0.47096481919288635,0.4485898017883301,0.4719408452510834,0.4664253294467926,0.42956721782684326,0.4263511896133423,0.46249479055404663,0.5029828548431396,0.5340498089790344,0.5438314080238342,0.5090034008026123,0.5028597116470337,0.49269986152648926,0.46160241961479187,0.4510344862937927,0.438466876745224,0.443556547164917,0.43528392910957336,0.44521522521972656,0.46399015188217163,0.45454204082489014,0.45504552125930786,0.4352891445159912,0.4472349286079407,0.45028573274612427,0.4526419937610626,0.46745771169662476,0.4711074233055115,0.49004197120666504,0.5037828683853149,0.503987729549408,0.5206944942474365,0.5346778631210327,0.5573375821113586,0.5388891696929932,0.5942879319190979,0.6387758851051331,0.7784602642059326,0.8685968518257141
5,0.8724437952041626,1.000000238418579,0.9020624160766602,0.8314964771270752,0.7970422506332397,0.7371652126312256,0.7160769701004028,0.6924857497215271,0.684607207775116,0.6533920764923096,0.6349470615386963,0.6154819130897522,0.6004733443260193,0.5857198238372803,0.5791277885437012,0.5569363832473755,0.5506443381309509,0.5565699934959412,0.5548946857452393,0.5550876259803772,0.5559356212615967,0.5470798015594482,0.5579820871353149,0.55613112449646,0.5617061257362366,0.5610228180885315,0.5648685097694397,0.587946891784668,0.5921528935432434,0.6148832440376282,0.6227245926856995,0.6153644919395447,0.5561975240707397,0.5164900422096252,0.47738316655158997,0.4805378317832947,0.4476049840450287,0.44291383028030396,0.4593290090560913,0.5013472437858582,0.5418514013290405,0.6015166640281677,0.6056226491928101,0.6096625328063965,0.5924493074417114,0.5919500589370728,0.5669081211090088,0.5645333528518677,0.5554695725440979,0.5510504245758057,0.5454087257385254,0.5496087074279785,0.5535465478897095,0.5501799583435059,0.54316246509552,0.5377225279808044,0.5535048842430115,0.5567587018013,0.5700904130935669,0.583152174949646,0.5967391729354858,0.6207981109619141,0.6392099261283875,0.6556236743927002,0.6820381879806519,0.6950665712356567,0.7249851822853088,0.7257499098777771,0.7713324427604675,0.7927054166793823,0.915107250213623,0.9876565933227539
10,0.7632943391799927,0.9020624160766602,0.9999997615814209,0.9448540210723877,0.9090539216995239,0.8282232284545898,0.811782956123352,0.7788373827934265,0.7242664694786072,0.7005473971366882,0.6936239004135132,0.6512166261672974,0.635562002658844,0.6071837544441223,0.6097357273101807,0.5777899026870728,0.5572190284729004,0.5717505216598511,0.5829225182533264,0.5949432253837585,0.5852949619293213,0.5643864870071411,0.5805948972702026,0.5931223630905151,0.58954256772995,0.5802211761474609,0.5783023834228516,0.6132240891456604,0.6246979832649231,0.653018593788147,0.6547006368637085,0.6655986905097961,0.6325253844261169,0.5940774083137512,0.5634137392044067,0.5580304861068726,0.5118803977966309,0.519402027130127,0.5519329309463501,0.5774138569831848,0.6179362535476685,0.6496019959449768,0.6329421997070312,0.640344500541687,0.6243290901184082,0.6099444031715393,0.5857062339782715,0.5941310524940491,0.588519811630249,0.5918096303939819,0.5739005208015442,0.5869179964065552,0.5969901084899902,0.5849852561950684,0.5683209896087646,0.5497368574142456,0.5548504590988159,0.5748928785324097,0.5858264565467834,0.6007932424545288,0.6258567571640015,0.6459839344024658,0.6899170875549316,0.7037250399589539,0.7494059205055237,0.7697281837463379,0.8165609836578369,0.8106101751327515,0.8827717304229736,0.9119213819503784,0.9798726439476013,0.8948362469673157
15,0.6707465648651123,0.8314964771270752,0.9448540210723877,0.9999998807907104,0.9660171270370483,0.9082815647125244,0.8759602904319763,0.8608248233795166,0.7936930656433105,0.7723496556282043,0.7619930505752563,0.7188177704811096,0.7017808556556702,0.6723877191543579,0.6688454151153564,0.6324126124382019,0.61274653673172,0.624045729637146,0.6270003318786621,0.6381803154945374,0.6318668127059937,0.6181920766830444,0.6353108882904053,0.6486688852310181,0.6476403474807739,0.636658787727356,0.6371991038322449,0.658846378326416,0.6628267168998718,0.6863868236541748,0.6774479746818542,0.6711413264274597,0.627849817276001,0.5845938324928284,0.5519666075706482,0.5408287644386292,0.5034580230712891,0.5061740279197693,0.5356754660606384,0.5657631158828735,0.6124531626701355,0.6523975729942322,0.6492980718612671,0.6633275151252747,0.6576789021492004,0.6474597454071045,0.6368306875228882,0.6499879956245422,0.6521528959274292,0.6488641500473022,0.6246926784515381,0.638466477394104,0.6428148150444031,0.6368550658226013,0.618920087814331,0.6058260202407837,0.6119692325592041,0.6303988099098206,0.6500095725059509,0.6696155667304993,0.6949234008789062,0.7147312164306641,0.7600573897361755,0.7741779685020447,0.8170039653778076,0.8459569215774536,0.8799375891685486,0.8894163370132446,0.950268566608429,0.9725912809371948,0.9391624331474304,0.8341633081436157
20,0.6172321438789368,0.7970422506332397,0.9090539216995239,0.9660171270370483,1.0000001192092896,0.9515886902809143,0.9202081561088562,0.903735339641571,0.8494466543197632,0.8249268531799316,0.8139247894287109,0.7689296007156372,0.7474072575569153,0.7165666818618774,0.7158685922622681,0.6719169020652771,0.6616638898849487,0.6732231378555298,0.6695170998573303,0.6700888872146606,0.6695449352264404,0.6637645959854126,0.6737090349197388,0.6907029151916504,0.6911119222640991,0.6857001185417175,0.6834934949874878,0.7022742033004761,0.7006317377090454,0.7240908145904541,0.7148702144622803,0.7002156972885132,0.6478549838066101,0.6041823625564575,0.555052638053894,0.5389404296875,0.4989466369152069,0.5040058493614197,0.5409820079803467,0.583024263381958,0.6314135789871216,0.6833223700523376,0.6825574636459351,0.7011796236038208,0.6981155872344971,0.6917046308517456,0.6839108467102051,0.6982408165931702,0.6984835863113403,0.6900727152824402,0.664624035358429,0.6791082620620728,0.6805731654167175,0.6742914915084839,0.6607786417007446,0.6534202098846436,0.659476637840271,0.6772128343582153,0.6986695528030396,0.7185229659080505,0.7456437349319458,0.7694272398948669,0.808504581451416,0.8244041800498962,0.8659921288490295,0.886279821395874,0.9174411296844482,0.9316051006317139,0.9735073447227478,0.9498255252838135,0.9090901613235474,0.8045236468315125
25,0.5577701926231384,0.7371652126312256,0.8282232284545898,0.9082815647125244,0.9515886902809143,1.0,0.9758256077766418,0.9649475812911987,0.9194765090942383,0.9070281386375427,0.8847797513008118,0.848202645778656,0.8209185600280762,0.7944235801696777,0.7897607684135437,0.7503853440284729,0.7434764504432678,0.7491822242736816,0.7367066144943237,0.7288919687271118,0.7346524596214294,0.73518967628479,0.7390917539596558,0.7527101635932922,0.7588891983032227,0.7572845220565796,0.7540125846862793,0.7542892694473267,0.7379740476608276,0.753682017326355,0.7292801141738892,0.6658076047897339,0.5926826000213623,0.5376235842704773,0.47485774755477905,0.45348572731018066,0.4196421205997467,0.4155062437057495,0.4531380534172058,0.5146207809448242,0.5784813165664673,0.6540367007255554,0.6978929042816162,0.7257238626480103,0.7341120839118958,0.7389163970947266,0.7464691400527954,0.7633597254753113,0.7649270296096802,0.752953052520752,0.7270991802215576,0.739856481552124,0.7368041276931763,0.7422019243240356,0.7331206798553467,0.7295317053794861,0.7382848262786865,0.7492688894271851,0.7789050936698914,0.7969272136688232,0.8246647119522095,0.851655125617981,0.890862226486206,0.905802845954895,0.9338861703872681,0.9541239738464355,0.9645006656646729,0.9774034023284912,0.947484016418457,0.8933421969413757,0.830597996711731,0.7437041997909546
30,0.5570693016052246,0.7160769701004028,0.811782956123352,0.8759602904319763,0.9202081561088562,0.9758256077766418,1.0,0.9752428531646729,0.9347445368766785,0.9265312552452087,0.9053456783294678,0.8676246404647827,0.8364930152893066,0.8039768934249878,0.8042038679122925,0.7749423384666443,0.7646644711494446,0.7735469937324524,0.7675231695175171,0.7616778612136841,0.7599934339523315,0.7500736713409424,0.7581512331962585,0.7660907506942749,0.7696874737739563,0.7658055424690247,0.7670656442642212,0.769585371017456,0.7541323304176331,0.7657721042633057,0.7383983731269836,0.6654871106147766,0.5885586738586426,0.529931902885437,0.4667762517929077,0.44438788294792175,0.4083234965801239,0.40461409091949463,0.442923367023468,0.5047336220741272,0.5772906541824341,0.6543360948562622,0.7075443863868713,0.7354848384857178,0.7460261583328247,0.7523540258407593,0.7578268051147461,0.7713973522186279,0.773315966129303,0.7687054872512817,0.7448242902755737,0.7609412670135498,0.7638791799545288,0.765470027923584,0.7630603909492493,0.7524669170379639,0.7546642422676086,0.7677908539772034,0.7872102856636047,0.8031924962997437,0.8326067328453064,0.8622519969940186,0.9074680805206299,0.918204665184021,0.944427490234375,0.960261344909668,0.9817594289779663,0.9591560363769531,0.9183138012886047,0.8636751174926758,0.8122460842132568,0.7213606834411621
35,0.542471170425415,0.6924857497215271,0.7788373827934265,0.8608248233795166,0.903735339641571,0.9649475812911987,0.9752428531646729,1.000000238418579,0.9525389075279236,0.942559003829956,0.9245971441268921,0.893429696559906,0.863832950592041,0.8356537222862244,0.8347114324569702,0.802283525466919,0.7951931953430176,0.8035899996757507,0.7912754416465759,0.7863026857376099,0.7888246774673462,0.7843062877655029,0.7899060845375061,0.7960255146026611,0.8024451732635498,0.7911524772644043,0.7924003601074219,0.7902734875679016,0.7762869596481323,0.7836531400680542,0.7535795569419861,0.6753575801849365,0.5928716063499451,0.5356873273849487,0.46760040521621704,0.43989136815071106,0.4059144854545593,0.4025312662124634,0.4462989568710327,0.5111830234527588,0.5833508968353271,0.6677719354629517,0.7268714308738708,0.7525796294212341,0.7692286968231201,0.7748236656188965,0.7852775454521179,0.7978204488754272,0.805465817451477,0.7958625555038452,0.7751472592353821,0.7915056943893433,0.7939680814743042,0.7942143678665161,0.7904303073883057,0.7840743064880371,0.784625232219696,0.7972109317779541,0.8190498948097229,0.8360502123832703,0.8589549660682678,0.8832206130027771,0.9234107732772827,0.9317355155944824,0.9524791240692139,0.9732468724250793,0.9640880227088928,0.953039824962616,0.9076592922210693,0.8517693877220154,0.7880114912986755,0.6976820230484009
40,0.5324492454528809,0.684607207775116,0.7242664694786072,0.7936930656433105,0.8494466543197632,0.9194765090942383,0.9347445368766785,0.9525389075279236,1.0,0.9806503057479858,0.9702237248420715,0.9476003050804138,0.9156705141067505,0.8894517421722412,0.8920501470565796,0.8566199541091919,0.8555457592010498,0.8579097986221313,0.8422479629516602,0.8325390219688416,0.8386887311935425,0.8348829746246338,0.8319380879402161,0.8300197124481201,0.8354393243789673,0.8339926600456238,0.8319967985153198,0.8288196921348572,0.8149139881134033,0.8159568309783936,0.7883982062339783,0.696169376373291,0.6074881553649902,0.5485318303108215,0.4698202610015869,0.4370374083518982,0.40444883704185486,0.39916330575942993,0.4446702301502228,0.5255444645881653,0.5989044904708862,0.6920120716094971,0.760947048664093,0.7895304560661316,0.8002752661705017,0.8145965337753296,0.8253419399261475,0.836269736289978,0.8363934755325317,0.8275642395019531,0.8147088289260864,0.8312249183654785,0.8312453031539917,0.8408130407333374,0.8413305878639221,0.8400512337684631,0.8429533839225769,0.8525471687316895,0.8733055591583252,0.8839348554611206,0.9091129302978516,0.9330560564994812,0.9549515247344971,0.9625129699707031,0.9593552350997925,0.9408499002456665,0.9215399622917175,0.9138753414154053,0.8472244143486023,0.7776913642883301,0.7450875043869019,0.6873229742050171
45,0.5113072991371155,0.6533920764923096,0.7005473971366882,0.7723496556282043,0.8249268531799316,0.9070281386375427,0.9265312552452087,0.942559003829956,0.9806503057479858,1.0,0.9835212230682373,0.9700149893760681,0.9425965547561646,0.9176009893417358,0.9126754403114319,0.8839267492294312,0.8809552192687988,0.8810386657714844,0.859876275062561,0.8488036394119263,0.8595288991928101,0.8591005802154541,0.853323221206665,0.8539011478424072,0.8588998913764954,0.8571285605430603,0.8532010316848755,0.8470301628112793,0.8256722688674927,0.8228847980499268,0.7920772433280945,0.6910862326622009,0.5997549295425415,0.535964846611023,0.45698118209838867,0.4244697391986847,0.39013126492500305,0.38514581322669983,0.4329086244106293,0.5137209892272949,0.5918141603469849,0.6889599561691284,0.7653840780258179,0.7955403327941895,0.809851884841919,0.8280599117279053,0.8486975431442261,0.8624647855758667,0.8605427742004395,0.8524755835533142,0.8364590406417847,0.8553151488304138,0.8526495099067688,0.8620182275772095,0.8645341396331787,0.8677814602851868,0.8716890215873718,0.880057692527771,0.9037553668022156,0.916082501411438,0.9386351108551025,0.9615264534950256,0.9790148138999939,0.9790323376655579,0.962931752204895,0.942070722579956,0.918070912361145,0.9068926572799683,0.8370776176452637,0.7668918371200562,0.721023678779602,0.6580667495727539
