,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355
0,1.0000001192092896,0.8660786151885986,0.813889741897583,0.7539225220680237,0.7027673125267029,0.6584163904190063,0.6235930919647217,0.5754224061965942,0.5631869435310364,0.5091385841369629,0.48756474256515503,0.48351120948791504,0.464771568775177,0.4482463598251343,0.4377095401287079,0.4241673946380615,0.4103875160217285,0.42760002613067627,0.4187803268432617,0.430791974067688,0.421620637178421,0.4339137077331543,0.42263755202293396,0.410646915435791,0.4026239812374115,0.4094473719596863,0.41109684109687805,0.39981693029403687,0.4077179431915283,0.399934858083725,0.40399250388145447,0.3970544934272766,0.4013313055038452,0.398492693901062,0.367291659116745,0.3896375298500061,0.51119065284729,0.38880935311317444,0.3618079721927643,0.3901199698448181,0.4066125750541687,0.3931311368942261,0.4116819202899933,0.4262487590312958,0.4084499776363373,0.4179089069366455,0.41020968556404114,0.42720913887023926,0.4060434103012085,0.42197489738464355,0.4300306439399719,0.4472372531890869,0.4354264736175537,0.4376755356788635,0.44336435198783875,0.4325908422470093,0.413740873336792,0.4255199432373047,0.4433439075946808,0.4544171392917633,0.4737197756767273,0.4873542785644531,0.496656596660614,0.5252036452293396,0.5535211563110352,0.5743399858474731,0.6283926367759705,0.6471872329711914,0.6831753253936768,0.7690616250038147,0.809552013874054,0.8758324980735779
5,0.8660786151885986,1.0,0.8914120197296143,0.8198064565658569,0.7551693916320801,0.703318178653717,0.674523115158081,0.6293572783470154,0.6130003929138184,0.5695435404777527,0.541678249835968,0.5337716341018677,0.5136486291885376,0.4889121353626251,0.47236961126327515,0.45678409934043884,0.451968252658844,0.45971328020095825,0.4481654465198517,0.4496566355228424,0.43706873059272766,0.45404839515686035,0.44076403975486755,0.43096843361854553,0.4280669689178467,0.4363396465778351,0.4291779398918152,0.4245121479034424,0.4392856955528259,0.4269983172416687,0.433475524187088,0.4285254180431366,0.43724218010902405,0.4434025287628174,0.41697537899017334,0.43945759534835815,0.525117814540863,0.43347832560539246,0.40860432386398315,0.4299203157424927,0.4281857907772064,0.41611674427986145,0.43085867166519165,0.44595927000045776,0.4320510923862457,0.4392923414707184,0.4270433783531189,0.4450555443763733,0.42384153604507446,0.4379478096961975,0.4453016519546509,0.45654964447021484,0.44253605604171753,0.44591477513313293,0.46571433544158936,0.46144846081733704,0.4541022777557373,0.45686060190200806,0.4789429306983948,0.5021207332611084,0.5250356793403625,0.536099374294281,0.5478779077529907,0.5736467838287354,0.5926154851913452,0.6212300658226013,0.6622347235679626,0.6901782751083374,0.7334383726119995,0.823713481426239,0.8806967735290527,0.9503455758094788
10,0.813889741897583,0.8914120197296143,1.0,0.9367768168449402,0.8823428750038147,0.833881139755249,0.7971755266189575,0.753649890422821,0.7411232590675354,0.6937142014503479,0.6551606059074402,0.6457197666168213,0.6289299130439758,0.6064619421958923,0.5880563855171204,0.5744374394416809,0.5670760273933411,0.5783017873764038,0.5625896453857422,0.5733513236045837,0.5579135417938232,0.5779780745506287,0.5653837323188782,0.5548920035362244,0.5530482530593872,0.5583327412605286,0.5478249788284302,0.5478556752204895,0.5620977282524109,0.5512977242469788,0.552606999874115,0.5455460548400879,0.5455926656723022,0.5406845211982727,0.49420422315597534,0.5015469789505005,0.5382894277572632,0.49557173252105713,0.4868786931037903,0.5302535891532898,0.5320851802825928,0.5266610980033875,0.542771577835083,0.563287079334259,0.5486026406288147,0.5477878451347351,0.5435844659805298,0.5635056495666504,0.5511267781257629,0.5587242841720581,0.5675188302993774,0.5744180083274841,0.5575892925262451,0.5638917684555054,0.5842953324317932,0.581340491771698,0.5699619054794312,0.5785154104232788,0.596688449382782,0.6208070516586304,0.6411153674125671,0.6531717777252197,0.6624660491943359,0.7014843225479126,0.7225420475006104,0.7495326995849609,0.7954282164573669,0.8286376595497131,0.8659610152244568,0.9262009859085083,0.9570396542549133,0.8740017414093018
15,0.7539225220680237,0.8198064565658569,0.9367768168449402,0.9999999403953552,0.9392089247703552,0.8870939016342163,0.8553975820541382,0.8091572523117065,0.7864326238632202,0.7407280802726746,0.6895728707313538,0.6740327477455139,0.6582454442977905,0.6261863708496094,0.6011341214179993,0.5890620350837708,0.5820437073707581,0.5903370976448059,0.5750202536582947,0.587185263633728,0.5692628622055054,0.5937846302986145,0.5766071677207947,0.5675172805786133,0.56292325258255,0.5739865303039551,0.560745358467102,0.5654063820838928,0.5765703916549683,0.5657148957252502,0.5664781928062439,0.5544992089271545,0.54755038022995,0.542647123336792,0.4898107647895813,0.4832114577293396,0.5148836374282837,0.47834569215774536,0.48103976249694824,0.5326575636863708,0.5309365391731262,0.5319623351097107,0.5533307194709778,0.5775113701820374,0.5641917586326599,0.554027259349823,0.5550626516342163,0.5840415954589844,0.5691431760787964,0.5770653486251831,0.5850615501403809,0.5880695581436157,0.5672706365585327,0.5761358141899109,0.6000837087631226,0.5983105897903442,0.5957111120223999,0.6003593802452087,0.6162015199661255,0.6439192891120911,0.6715559959411621,0.6801047325134277,0.6930627226829529,0.7417600154876709,0.7683811783790588,0.79926598072052,0.8507280945777893,0.8810986280441284,0.9203961491584778,0.9583138227462769,0.9078201055526733,0.8174825310707092
20,0.7027673125267029,0.7551693916320801,0.8823428750038147,0.9392089247703552,1.000000238418579,0.966092586517334,0.9369804859161377,0.9050290584564209,0.8751603364944458,0.8273331522941589,0.78361976146698,0.7531769871711731,0.7303342819213867,0.7026217579841614,0.6725668907165527,0.6587227582931519,0.652779221534729,0.6681273579597473,0.6557189226150513,0.659672737121582,0.6389267444610596,0.6536920070648193,0.6347216367721558,0.6187728047370911,0.615375280380249,0.6226441860198975,0.6119602918624878,0.6126648187637329,0.6191109418869019,0.6102426052093506,0.6060846447944641,0.5861451029777527,0.5704969763755798,0.5628702640533447,0.5033602118492126,0.49972042441368103,0.49728459119796753,0.4990629553794861,0.49883314967155457,0.5527450442314148,0.5557823777198792,0.563702404499054,0.589550256729126,0.6203861236572266,0.6108802556991577,0.6009891629219055,0.6041731238365173,0.6335678100585938,0.61947101354599,0.6281085014343262,0.6383051872253418,0.6447772979736328,0.6292112469673157,0.6417797207832336,0.6698904633522034,0.6657675504684448,0.6580649614334106,0.6603710651397705,0.682174563407898,0.7093749046325684,0.7327779531478882,0.7517932653427124,0.7742522358894348,0.8193073272705078,0.8527170419692993,0.8905736207962036,0.9302867650985718,0.9532966613769531,0.9705641269683838,0.9261268377304077,0.8612979650497437,0.7624863386154175
25,0.6584163904190063,0.703318178653717,0.833881139755249,0.8870939016342163,0.966092586517334,1.0000001192092896,0.979953408241272,0.9600414037704468,0.9377274513244629,0.8974853157997131,0.8612228035926819,0.8282791972160339,0.8026041984558105,0.7765641212463379,0.7462855577468872,0.7328298091888428,0.7304257154464722,0.749262273311615,0.7348805665969849,0.7353843450546265,0.7168381214141846,0.732978343963623,0.710660457611084,0.6919946074485779,0.6835029125213623,0.6882531642913818,0.6797401905059814,0.6770620942115784,0.6827452182769775,0.676275372505188,0.668846070766449,0.6458497047424316,0.6280032396316528,0.6159675121307373,0.5395001173019409,0.5356261134147644,0.4827381372451782,0.5424787998199463,0.5378811955451965,0.6019352078437805,0.6142373085021973,0.6203719973564148,0.6470683813095093,0.6791434288024902,0.6736618280410767,0.6643739342689514,0.6696412563323975,0.6955358982086182,0.6838107109069824,0.6993137001991272,0.7128826379776001,0.722480297088623,0.711777925491333,0.7218193411827087,0.7481366395950317,0.7432993650436401,0.7339780330657959,0.7318960428237915,0.7567552328109741,0.782598078250885,0.8012198209762573,0.8222294449806213,0.847309410572052,0.883251965045929,0.9124171733856201,0.9436852335929871,0.9663079977035522,0.9793335795402527,0.9532941579818726,0.8777312636375427,0.812652051448822,0.7167817950248718
30,0.6235930919647217,0.674523115158081,0.7971755266189575,0.8553975820541382,0.9369804859161377,0.979953408241272,1.0000001192092896,0.9671229124069214,0.9505295753479004,0.9143003225326538,0.8800966739654541,0.8514508008956909,0.8237934708595276,0.7947571277618408,0.7612806558609009,0.7493804693222046,0.7487723231315613,0.7678754925727844,0.7527654767036438,0.7530294060707092,0.7358307242393494,0.7505766153335571,0.7290385365486145,0.709336519241333,0.7007501125335693,0.7040950059890747,0.6947845220565796,0.6931387186050415,0.6962623000144958,0.6886115074157715,0.6782195568084717,0.6509720683097839,0.628363311290741,0.6113584041595459,0.5319716930389404,0.5308191180229187,0.46826624870300293,0.5398427844047546,0.5279597640037537,0.5955705642700195,0.6195331811904907,0.6253364682197571,0.6570696830749512,0.6913427710533142,0.6879318952560425,0.678781270980835,0.6841388940811157,0.7124125361442566,0.6993407011032104,0.718139111995697,0.732489287853241,0.7429007887840271,0.7323411703109741,0.7407369613647461,0.7657967805862427,0.7633298635482788,0.7564506530761719,0.7507681846618652,0.7747443914413452,0.8032724857330322,0.8257954716682434,0.8450353145599365,0.8687407970428467,0.9018358588218689,0.9274743795394897,0.9525322914123535,0.9727705717086792,0.9624132513999939,0.9281863570213318,0.8437368273735046,0.7732237577438354,0.6879594326019287
35,0.5754224061965942,0.6293572783470154,0.753649890422821,0.8091572523117065,0.9050290584564209,0.9600414037704468,0.9671229124069214,1.0,0.9810134768486023,0.9545660614967346,0.9313117265701294,0.8916473984718323,0.8655232191085815,0.8445000648498535,0.8140732049942017,0.8023321628570557,0.8009592294692993,0.819756805896759,0.8043427467346191,0.7964383363723755,0.7734346389770508,0.7867541313171387,0.7623206377029419,0.7411115169525146,0.7319425344467163,0.7290564775466919,0.7186825275421143,0.7180387377738953,0.721847653388977,0.7150708436965942,0.7017514109611511,0.6740012168884277,0.6551836133003235,0.6393717527389526,0.5481138229370117,0.536311149597168,0.429248183965683,0.5492331385612488,0.5415617227554321,0.6215400695800781,0.6472204923629761,0.6534450650215149,0.6819684505462646,0.7140340209007263,0.7148627638816833,0.702509343624115,0.7095863819122314,0.7344235181808472,0.7297083139419556,0.7491896152496338,0.7620508074760437,0.770880937576294,0.7658531665802002,0.7809630632400513,0.8117793798446655,0.813220739364624,0.8072664141654968,0.802383542060852,0.8243111968040466,0.8481841087341309,0.8648408055305481,0.8812131881713867,0.9140957593917847,0.9352147579193115,0.9555370211601257,0.9769024848937988,0.9544764161109924,0.9422969222068787,0.8966686725616455,0.8044346570968628,0.7258217930793762,0.6390438675880432
40,0.5631869435310364,0.6130003929138184,0.7411232590675354,0.7864326238632202,0.8751603364944458,0.9377274513244629,0.9505295753479004,0.9810134768486023,1.0,0.9751187562942505,0.954808235168457,0.9303468465805054,0.9039262533187866,0.879966676235199,0.8552670478820801,0.8441433906555176,0.8427911400794983,0.860651433467865,0.8431723117828369,0.8367611169815063,0.8161489367485046,0.8297905921936035,0.8082635402679443,0.7874024510383606,0.7782118320465088,0.7740722894668579,0.7619982957839966,0.7627844214439392,0.7665954828262329,0.757590651512146,0.7429091334342957,0.7112897634506226,0.6853011250495911,0.6571842432022095,0.5531959533691406,0.5426674485206604,0.41996586322784424,0.5577317476272583,0.5451327562332153,0.6363720893859863,0.6793521642684937,0.6894130110740662,0.7203000783920288,0.7523043751716614,0.7560242414474487,0.7453606128692627,0.754643976688385,0.7777422666549683,0.7745583057403564,0.7917860150337219,0.8048946857452393,0.8145931363105774,0.8087961673736572,0.823938250541687,0.8515207767486572,0.8520289063453674,0.8458799719810486,0.8406864404678345,0.8613369464874268,0.8826267719268799,0.8985943794250488,0.9130288362503052,0.9387356638908386,0.9536601901054382,0.9686901569366455,0.9653061628341675,0.9347950220108032,0.9213863611221313,0.871917724609375,0.7872934341430664,0.7056648135185242,0.6182992458343506
45,0.5091385841369629,0.5695435404777527,0.6937142014503479,0.7407280802726746,0.8273331522941589,0.8974853157997131,0.9143003225326538,0.9545660614967346,0.9751187562942505,0.9999998807907104,0.9788457155227661,0.9569882154464722,0.9352001547813416,0.9118064045906067,0.8848113417625427,0.8746352791786194,0.8785456418991089,0.8899316787719727,0.86818528175354,0.8578723669052124,0.8373973369598389,0.8517573475837708,0.8293659687042236,0.8096005916595459,0.7985800504684448,0.7917908430099487,0.7762134671211243,0.782893180847168,0.786730945110321,0.7753497362136841,0.7573643922805786,0.7249341607093811,0.6939141750335693,0.6642309427261353,0.5583257675170898,0.5354434847831726,0.3917155861854553,0.5523573160171509,0.5517006516456604,0.6435989141464233,0.6882343888282776,0.7004175782203674,0.730889081954956,0.7606651782989502,0.7743326425552368,0.7589392066001892,0.7703135013580322,0.794784665107727,0.7928365468978882,0.8152227997779846,0.8265146613121033,0.8303533792495728,0.8292109370231628,0.8458906412124634,0.8764423131942749,0.8818552494049072,0.880187451839447,0.8694840669631958,0.8920677900314331,0.9148012399673462,0.9288932085037231,0.9414451122283936,0.9604199528694153,0.9699034690856934,0.9566864967346191,0.9449925422668457,0.9001082181930542,0.8874644637107849,0.8347743153572083,0.7443978786468506,0.6564924716949463,0.5770482420921326
