,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355
0,0.9999999403953552,0.9842575192451477,0.947134792804718,0.9350484609603882,0.9132299423217773,0.8915626406669617,0.8633072972297668,0.8637418150901794,0.8760991096496582,0.880740225315094,0.8827131986618042,0.8880252242088318,0.8807398080825806,0.8689255118370056,0.8695970177650452,0.863799512386322,0.8563896417617798,0.8579026460647583,0.8597910404205322,0.8543700575828552,0.8577149510383606,0.8556920289993286,0.8601148724555969,0.8641461730003357,0.8843894600868225,0.8797110319137573,0.8806477785110474,0.8716180920600891,0.872252881526947,0.8913483619689941,0.9139291644096375,0.9302785992622375,0.9295282363891602,0.9324773550033569,0.9228314161300659,0.9134626388549805,0.9143946766853333,0.9050279855728149,0.918893039226532,0.9308904409408569,0.9324061274528503,0.9231774806976318,0.9121084213256836,0.9019662737846375,0.8917372226715088,0.8760780692100525,0.8834816813468933,0.8765788674354553,0.8748196959495544,0.8566399812698364,0.8639407157897949,0.8645979166030884,0.8676932454109192,0.8615539073944092,0.8569765686988831,0.8572335839271545,0.8596075177192688,0.8539167046546936,0.8618430495262146,0.8651997447013855,0.855938196182251,0.8688313364982605,0.8766807913780212,0.8806135058403015,0.8680071234703064,0.8691341876983643,0.8667733073234558,0.8823233842849731,0.9171727299690247,0.9334832429885864,0.9544618725776672,0.9779914021492004
5,0.9842575192451477,1.0000003576278687,0.9686028361320496,0.946571409702301,0.9180132150650024,0.8948377966880798,0.8678709268569946,0.8633673787117004,0.8755230903625488,0.8795842528343201,0.882890522480011,0.8890801668167114,0.8831436634063721,0.870787501335144,0.8720859289169312,0.8665968179702759,0.8623490333557129,0.8590998649597168,0.8616796731948853,0.8573994040489197,0.8616188764572144,0.8615837693214417,0.864590048789978,0.8683386445045471,0.8897890448570251,0.8879650235176086,0.8913504481315613,0.8840860724449158,0.8847329020500183,0.9013744592666626,0.9176517128944397,0.9327216744422913,0.9357373118400574,0.9429510235786438,0.935320258140564,0.9358076453208923,0.9346751570701599,0.9278172850608826,0.9342719316482544,0.9400753974914551,0.934611439704895,0.9243432283401489,0.9193967580795288,0.911969780921936,0.9023572206497192,0.885517418384552,0.8922474384307861,0.8843998312950134,0.8821051716804504,0.8637927174568176,0.8689557909965515,0.8705624938011169,0.8743913769721985,0.8665278553962708,0.8618165254592896,0.8607446551322937,0.8680469393730164,0.8566616773605347,0.8630955219268799,0.8683388233184814,0.8587291240692139,0.8706498146057129,0.8796574473381042,0.8833180665969849,0.8728678226470947,0.8774845600128174,0.8750581741333008,0.8894418478012085,0.9250391721725464,0.9507186412811279,0.9769711494445801,0.9945265054702759
10,0.947134792804718,0.9686028361320496,1.0000001192092896,0.9696427583694458,0.9160786271095276,0.8820623755455017,0.8528313636779785,0.8490198254585266,0.8621841073036194,0.8770657777786255,0.8835622072219849,0.8955382108688354,0.8888429403305054,0.8754085302352905,0.869564414024353,0.8632553815841675,0.8660584688186646,0.8615395426750183,0.866849422454834,0.8657075762748718,0.8709702491760254,0.8722693920135498,0.8689256310462952,0.8790530562400818,0.9049272537231445,0.9164491295814514,0.9160971641540527,0.9188539385795593,0.9183451533317566,0.9272271394729614,0.9294731616973877,0.9241669178009033,0.9269689917564392,0.9518395662307739,0.9208588600158691,0.924994707107544,0.9252681136131287,0.9145401120185852,0.9421341419219971,0.9545758962631226,0.9366992712020874,0.9289305806159973,0.926211953163147,0.93449866771698,0.9286434650421143,0.9174090623855591,0.9243263006210327,0.915363609790802,0.9069854617118835,0.8809526562690735,0.8774152994155884,0.8859482407569885,0.895230233669281,0.8832285404205322,0.8784507513046265,0.8719502687454224,0.8794201612472534,0.8621106147766113,0.8675533533096313,0.8803868293762207,0.8775817155838013,0.8852211833000183,0.8904058337211609,0.8866599798202515,0.8700544238090515,0.8716990351676941,0.8621402978897095,0.8707636594772339,0.9345389008522034,0.9790565967559814,0.9912866950035095,0.9669159650802612
15,0.9350484609603882,0.946571409702301,0.9696427583694458,1.000000238418579,0.9693677425384521,0.9335266947746277,0.9058809280395508,0.8946609497070312,0.9052315354347229,0.9098038673400879,0.9152283072471619,0.924296498298645,0.9158928990364075,0.9068522453308105,0.9069803953170776,0.891814649105072,0.8841792941093445,0.8865399360656738,0.8912315964698792,0.8906764388084412,0.8972432017326355,0.8967807292938232,0.9006859660148621,0.9076260328292847,0.9285591840744019,0.9239754676818848,0.9250836968421936,0.9253000020980835,0.9220839142799377,0.934152364730835,0.9360436797142029,0.9387609958648682,0.946451723575592,0.9581727385520935,0.9281296730041504,0.8994651436805725,0.8937683701515198,0.888068675994873,0.9386214017868042,0.9632233381271362,0.9564008712768555,0.9524726271629333,0.9511027932167053,0.949414074420929,0.9403723478317261,0.9283739328384399,0.9259922504425049,0.9139478802680969,0.9190565943717957,0.9039449095726013,0.9036523103713989,0.9089356064796448,0.9170926213264465,0.9065016508102417,0.9012289047241211,0.9007142782211304,0.8981994986534119,0.8933270573616028,0.90311199426651,0.9040008187294006,0.8999409675598145,0.9127834439277649,0.9169663190841675,0.9167848229408264,0.9145628809928894,0.9169402718544006,0.9156294465065002,0.9284103512763977,0.9744805097579956,0.9879359602928162,0.9696667790412903,0.9394427537918091
20,0.9132299423217773,0.9180132150650024,0.9160786271095276,0.9693677425384521,1.0000003576278687,0.9869030714035034,0.9674040079116821,0.9504775404930115,0.9478009939193726,0.9416514039039612,0.9436031579971313,0.9374885559082031,0.9297935962677002,0.9280153512954712,0.9317037463188171,0.9200825095176697,0.9069393873214722,0.9131316542625427,0.9172430038452148,0.9149839878082275,0.9203318953514099,0.9201197624206543,0.9289134740829468,0.9239437580108643,0.9327439665794373,0.9116269946098328,0.9118560552597046,0.9016208052635193,0.8942091464996338,0.9116610288619995,0.9271280765533447,0.9429448843002319,0.9543540477752686,0.9422326683998108,0.9311237335205078,0.8817174434661865,0.8712130188941956,0.8781681060791016,0.9269499778747559,0.9467213153839111,0.9568819403648376,0.9612761735916138,0.9591450691223145,0.9326728582382202,0.920854389667511,0.9015084505081177,0.9025334119796753,0.8888089656829834,0.9112921953201294,0.9124197959899902,0.9258810877799988,0.9199751019477844,0.9220792055130005,0.9179902076721191,0.9120985269546509,0.9164180755615234,0.909452497959137,0.9183754324913025,0.9269256591796875,0.9208463430404663,0.9122498035430908,0.9272767901420593,0.9363480806350708,0.9446114301681519,0.9556981921195984,0.9627244472503662,0.9703757762908936,0.9787625074386597,0.9869977235794067,0.9511157274246216,0.9205427765846252,0.9086952209472656
25,0.8915626406669617,0.8948377966880798,0.8820623755455017,0.9335266947746277,0.9869030714035034,1.0000005960464478,0.9890706539154053,0.9714112281799316,0.9585213661193848,0.947206974029541,0.948009729385376,0.9323625564575195,0.9257699847221375,0.9272586703300476,0.9330558180809021,0.9259667992591858,0.9132945537567139,0.918955385684967,0.9230823516845703,0.9206748008728027,0.924633264541626,0.9251631498336792,0.9355596303939819,0.9242427945137024,0.9259666800498962,0.8989930152893066,0.8976998925209045,0.881691038608551,0.8711938858032227,0.8906810283660889,0.9118396043777466,0.9317769408226013,0.9433212280273438,0.917495608329773,0.9172483682632446,0.8606293797492981,0.8487306237220764,0.8612657785415649,0.9087857007980347,0.9220571517944336,0.9400268793106079,0.9500826597213745,0.9491236209869385,0.9116418361663818,0.9002259969711304,0.8770677447319031,0.8831449747085571,0.8696954250335693,0.9006633162498474,0.909639298915863,0.9291154146194458,0.916654109954834,0.9144478440284729,0.9149690866470337,0.9096795320510864,0.9148868322372437,0.9081079959869385,0.9226455688476562,0.9279319047927856,0.9195336103439331,0.910192608833313,0.9250943064689636,0.9360604286193848,0.948298454284668,0.9654872417449951,0.9742426872253418,0.9834716320037842,0.9857478737831116,0.9737111330032349,0.916976273059845,0.887413501739502,0.8872325420379639
30,0.8633072972297668,0.8678709268569946,0.8528313636779785,0.9058809280395508,0.9674040079116821,0.9890706539154053,0.9999999403953552,0.986466109752655,0.9692963361740112,0.9527244567871094,0.950646698474884,0.9281403422355652,0.9240661263465881,0.9293819665908813,0.9357991218566895,0.9303328990936279,0.9185504913330078,0.9229878187179565,0.9265079498291016,0.9245675802230835,0.927118718624115,0.9287221431732178,0.9415447115898132,0.928202211856842,0.9240776300430298,0.892208456993103,0.8902923464775085,0.8709313273429871,0.8588855266571045,0.8767114877700806,0.8977648019790649,0.9162160754203796,0.930510938167572,0.8964351415634155,0.9015786051750183,0.8439539670944214,0.8320966958999634,0.8454955220222473,0.887935221195221,0.901921808719635,0.9235084056854248,0.9346242547035217,0.9378944635391235,0.8963348269462585,0.887636661529541,0.8649020195007324,0.8712012767791748,0.8595545291900635,0.8955131769180298,0.9106422066688538,0.9307281374931335,0.9149144291877747,0.9089981317520142,0.9126518368721008,0.9089576005935669,0.9150093793869019,0.9081627726554871,0.9265349507331848,0.9308606386184692,0.9201873540878296,0.9099795818328857,0.922734260559082,0.9358588457107544,0.9514878392219543,0.9755710363388062,0.984103262424469,0.9906148910522461,0.9761143922805786,0.9529343843460083,0.8898159265518188,0.8605545163154602,0.8616940379142761
35,0.8637418150901794,0.8633673787117004,0.8490198254585266,0.8946609497070312,0.9504775404930115,0.9714112281799316,0.986466109752655,0.9999998807907104,0.987739086151123,0.9776790142059326,0.9723342061042786,0.9460887908935547,0.9441335201263428,0.9525289535522461,0.9566788673400879,0.9557831883430481,0.9412060976028442,0.950751781463623,0.9517552852630615,0.9486799836158752,0.950752854347229,0.9491025805473328,0.9615985155105591,0.9498127698898315,0.9428629279136658,0.911213755607605,0.9073365926742554,0.8865020275115967,0.8730881214141846,0.8898129463195801,0.9131225347518921,0.9263984560966492,0.9366128444671631,0.897007167339325,0.9000459313392639,0.8386901021003723,0.8297888040542603,0.8387607336044312,0.8849799633026123,0.8995511531829834,0.9243447780609131,0.9351568818092346,0.9398312568664551,0.9053089022636414,0.9003211855888367,0.8793090581893921,0.8870389461517334,0.8794705867767334,0.9170984029769897,0.9320946931838989,0.951962411403656,0.9349780678749084,0.9262126684188843,0.9327324032783508,0.9305302500724792,0.9377963542938232,0.9271128177642822,0.9515334367752075,0.9551968574523926,0.9449018836021423,0.9335604310035706,0.9443389773368835,0.9585756659507751,0.9734931588172913,0.9875152111053467,0.9871670007705688,0.9784594178199768,0.9522557854652405,0.9422180652618408,0.8818321824073792,0.8565597534179688,0.8588271737098694
40,0.8760991096496582,0.8755230903625488,0.8621841073036194,0.9052315354347229,0.9478009939193726,0.9585213661193848,0.9692963361740112,0.987739086151123,1.0000003576278687,0.9914595484733582,0.9845200777053833,0.9661935567855835,0.9638816118240356,0.9697061777114868,0.9712867736816406,0.9700632691383362,0.9564855098724365,0.964880108833313,0.9646399617195129,0.9608684182167053,0.9616607427597046,0.9577282667160034,0.9685607552528381,0.9633544683456421,0.9633728265762329,0.9348942041397095,0.9335790276527405,0.914313793182373,0.9045532941818237,0.9201499223709106,0.9405438303947449,0.9486656188964844,0.9565894603729248,0.9198399782180786,0.9221774339675903,0.8610584139823914,0.8513531684875488,0.8555630445480347,0.9049749374389648,0.9165412783622742,0.9382910132408142,0.9464120268821716,0.9562407732009888,0.9329898953437805,0.9302378296852112,0.910605788230896,0.9145436882972717,0.9086850881576538,0.9402399063110352,0.9463415145874023,0.9603203535079956,0.9491318464279175,0.9443419575691223,0.9502289891242981,0.9476981163024902,0.9543357491493225,0.9478374123573303,0.964704692363739,0.9690004587173462,0.964011549949646,0.9513083100318909,0.9621511101722717,0.9737868309020996,0.9853905439376831,0.9880354404449463,0.9828717708587646,0.9658475518226624,0.9417515993118286,0.9444843530654907,0.8949726819992065,0.8726561069488525,0.8726930618286133
45,0.880740225315094,0.8795842528343201,0.8770657777786255,0.9098038673400879,0.9416514039039612,0.947206974029541,0.9527244567871094,0.9776790142059326,0.9914595484733582,1.000000238418579,0.9963934421539307,0.9827663898468018,0.9816097021102905,0.9844529628753662,0.9788935780525208,0.979541540145874,0.9707508683204651,0.9785503149032593,0.9791975021362305,0.9759237766265869,0.9776718616485596,0.974381685256958,0.9782688617706299,0.976246178150177,0.9745085835456848,0.9544370174407959,0.9488979578018188,0.9333449602127075,0.9225382208824158,0.934914767742157,0.9525220394134521,0.9470566511154175,0.9522920846939087,0.9243806004524231,0.91397625207901,0.8594796657562256,0.8532423377037048,0.8552742004394531,0.9062811732292175,0.9234762787818909,0.9399888515472412,0.9478203654289246,0.9596937298774719,0.9440634846687317,0.9432387948036194,0.9257402420043945,0.9343911409378052,0.9309810400009155,0.9597231149673462,0.9641637206077576,0.9735779762268066,0.9671143293380737,0.9635381102561951,0.9670888185501099,0.9655305743217468,0.9683828353881836,0.962489128112793,0.9764881730079651,0.9809768199920654,0.9823889136314392,0.9737533330917358,0.980981707572937,0.9895836114883423,0.9956849813461304,0.9860237240791321,0.9759403467178345,0.949907660484314,0.9218162298202515,0.9455080032348633,0.9023220539093018,0.879406213760376,0.8739166855812073
