,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355
0,1.0,0.7132083773612976,0.5796138048171997,0.6700810790061951,0.6099382638931274,0.5381213426589966,0.5283616781234741,0.49107474088668823,0.44499683380126953,0.43305790424346924,0.41945984959602356,0.38747450709342957,0.3733571767807007,0.36532196402549744,0.37146836519241333,0.3423449993133545,0.35826602578163147,0.36405691504478455,0.36911821365356445,0.3571506142616272,0.350196897983551,0.3430587649345398,0.3491177558898926,0.35930415987968445,0.37579208612442017,0.4163054823875427,0.41681212186813354,0.45708584785461426,0.4781354069709778,0.46567097306251526,0.4412464499473572,0.46976232528686523,0.4647201895713806,0.506556510925293,0.48904305696487427,0.5306791067123413,0.5428229570388794,0.5293071866035461,0.5269234776496887,0.4997902512550354,0.4895111322402954,0.4975246787071228,0.4891490638256073,0.491773784160614,0.46038398146629333,0.44531190395355225,0.40998587012290955,0.41797760128974915,0.40954267978668213,0.3816741108894348,0.36628732085227966,0.38388127088546753,0.37771838903427124,0.37555283308029175,0.36071085929870605,0.35412561893463135,0.3833576440811157,0.3620530962944031,0.3703114986419678,0.38110417127609253,0.3821013867855072,0.41389644145965576,0.4145873486995697,0.4443959593772888,0.4765987992286682,0.5141246318817139,0.5444433689117432,0.5870846509933472,0.6216650009155273,0.6387532949447632,0.6357725262641907,0.7842215299606323
5,0.7132083773612976,1.0,0.8456404209136963,0.784438967704773,0.783220648765564,0.687149167060852,0.5949787497520447,0.5543074607849121,0.4739530682563782,0.4308862090110779,0.43296489119529724,0.3945266902446747,0.37745657563209534,0.36178624629974365,0.36540287733078003,0.34834614396095276,0.3607402443885803,0.37109386920928955,0.3727806508541107,0.3678554892539978,0.34303027391433716,0.3386812210083008,0.35439467430114746,0.36092135310173035,0.3722441494464874,0.4166805148124695,0.4287044405937195,0.4292585253715515,0.45533138513565063,0.4538976550102234,0.50078284740448,0.5667681694030762,0.556134819984436,0.6101126074790955,0.5112038850784302,0.5115253925323486,0.4382747411727905,0.5179603099822998,0.5292607545852661,0.613105058670044,0.5563074350357056,0.5831583142280579,0.5431598424911499,0.500784158706665,0.44122371077537537,0.44059520959854126,0.426970511674881,0.4351654052734375,0.4038662910461426,0.36996692419052124,0.35358572006225586,0.3591386675834656,0.3689618408679962,0.39057138562202454,0.36955946683883667,0.37942203879356384,0.3797716498374939,0.3765159845352173,0.3753237724304199,0.3809599280357361,0.37787070870399475,0.4128452241420746,0.42128002643585205,0.44062340259552,0.48872286081314087,0.5777416825294495,0.6021443605422974,0.7208452820777893,0.7332472801208496,0.760399580001831,0.8436728715896606,0.9465951323509216
10,0.5796138048171997,0.8456404209136963,0.9999997615814209,0.8061518669128418,0.7955641150474548,0.6919776797294617,0.5721880197525024,0.5330440998077393,0.4695631265640259,0.4174933433532715,0.4388778805732727,0.4164963960647583,0.4023204743862152,0.3854431211948395,0.39700862765312195,0.38029879331588745,0.3903716206550598,0.4019414484500885,0.3915133476257324,0.3857709765434265,0.36399877071380615,0.35836631059646606,0.3679029941558838,0.3749660849571228,0.3752160668373108,0.4302385747432709,0.42880019545555115,0.44835585355758667,0.47399386763572693,0.4807051420211792,0.5061982274055481,0.5510702133178711,0.5499438047409058,0.6043421626091003,0.5228223204612732,0.5057569742202759,0.4467083513736725,0.5133114457130432,0.5255661606788635,0.618717610836029,0.5704408288002014,0.5563303232192993,0.541758120059967,0.5058389902114868,0.470138818025589,0.4547487497329712,0.4219539761543274,0.4413590133190155,0.40659916400909424,0.3942524790763855,0.3854636549949646,0.38150137662887573,0.3899027109146118,0.4111824035644531,0.38978657126426697,0.4041876792907715,0.4050391912460327,0.40426450967788696,0.39915546774864197,0.3989771902561188,0.40607309341430664,0.43053311109542847,0.4250946044921875,0.4328354597091675,0.48391857743263245,0.556614100933075,0.5806492567062378,0.7129401564598083,0.7111554145812988,0.756473183631897,0.9396729469299316,0.7776060104370117
15,0.6700810790061951,0.784438967704773,0.8061518669128418,1.0000001192092896,0.9135289788246155,0.8050938844680786,0.7127832174301147,0.671390175819397,0.5890849232673645,0.5332775712013245,0.5418558120727539,0.5080512166023254,0.5016274452209473,0.4844062924385071,0.5028839111328125,0.48979365825653076,0.4982225298881531,0.5067340135574341,0.5023353695869446,0.4962786138057709,0.4802449643611908,0.4598609209060669,0.4681857228279114,0.4770320653915405,0.48713505268096924,0.5288087129592896,0.5315700769424438,0.5477904081344604,0.5894280672073364,0.5910382270812988,0.5675684213638306,0.5866312384605408,0.5801469683647156,0.6138255000114441,0.5783271193504333,0.5643946528434753,0.464821457862854,0.5855808258056641,0.5979421138763428,0.6071717143058777,0.6126211881637573,0.5936088562011719,0.6326572299003601,0.6284992694854736,0.5927081108093262,0.5481966733932495,0.5363712906837463,0.5553107261657715,0.5287935137748718,0.5055426955223083,0.4927675127983093,0.4833284020423889,0.49608367681503296,0.5188180804252625,0.5039969682693481,0.5144520998001099,0.5180414915084839,0.5152179002761841,0.5107326507568359,0.512440025806427,0.507264256477356,0.5391994714736938,0.5401926636695862,0.545926034450531,0.6023291349411011,0.6828750371932983,0.7094746828079224,0.834052562713623,0.8988699913024902,0.9446265697479248,0.8614065647125244,0.8017086982727051
20,0.6099382638931274,0.783220648765564,0.7955641150474548,0.9135289788246155,1.0,0.8838088512420654,0.7774579524993896,0.7521911859512329,0.6693418622016907,0.6059331893920898,0.6196209192276001,0.5889882445335388,0.5814365148544312,0.5525141954421997,0.5627317428588867,0.547193706035614,0.5542552471160889,0.5641406774520874,0.5515539646148682,0.5485983490943909,0.5288752913475037,0.5173926949501038,0.5254594087600708,0.5308381915092468,0.5432895421981812,0.5977654457092285,0.5952776074409485,0.6103724837303162,0.6511159539222717,0.6469193696975708,0.622337281703949,0.6517289876937866,0.638245701789856,0.6693521738052368,0.5950140953063965,0.533886730670929,0.44204190373420715,0.5628737211227417,0.60675448179245,0.6571497917175293,0.6521090269088745,0.6610243916511536,0.689842164516449,0.6867117881774902,0.6490341424942017,0.6104412078857422,0.5951013565063477,0.6183537244796753,0.5800668597221375,0.5609758496284485,0.5532515645027161,0.5434824228286743,0.5499224662780762,0.5693843364715576,0.5509992837905884,0.5633279085159302,0.5706076622009277,0.5708627104759216,0.5737333297729492,0.5782493352890015,0.5792992115020752,0.6075552105903625,0.6041204333305359,0.612048864364624,0.6638596057891846,0.748948335647583,0.7620739340782166,0.8803238868713379,0.9251070022583008,0.8852768540382385,0.8153166770935059,0.779887855052948
25,0.5381213426589966,0.687149167060852,0.6919776797294617,0.8050938844680786,0.8838088512420654,1.0,0.9225965738296509,0.9001306891441345,0.8216645121574402,0.7727688550949097,0.7925236225128174,0.7637633085250854,0.7590596675872803,0.7337344884872437,0.7384354472160339,0.7198888063430786,0.7257176637649536,0.7319060564041138,0.7088881731033325,0.7080766558647156,0.6900243759155273,0.6762275695800781,0.6792068481445312,0.6805431842803955,0.6789610385894775,0.7194167375564575,0.7270333766937256,0.7098745107650757,0.7192400693893433,0.6956913471221924,0.6060851812362671,0.6070621609687805,0.5741226673126221,0.5785590410232544,0.4830538034439087,0.44702470302581787,0.36752355098724365,0.4504457712173462,0.49007758498191833,0.5536920428276062,0.5628746151924133,0.6084602475166321,0.6948298811912537,0.7527449131011963,0.7211214303970337,0.7049805521965027,0.7065318822860718,0.7336009740829468,0.7197973728179932,0.7197952270507812,0.7061082720756531,0.6835964918136597,0.7079875469207764,0.7173754572868347,0.7057844400405884,0.7231386303901672,0.7316716313362122,0.7352653741836548,0.750121533870697,0.7487948536872864,0.7573297023773193,0.7722165584564209,0.7798318266868591,0.7872315645217896,0.8194630146026611,0.8908007740974426,0.8981102705001831,0.9014266729354858,0.8491533994674683,0.7655787467956543,0.7247575521469116,0.6879972219467163
30,0.5283616781234741,0.5949787497520447,0.5721880197525024,0.7127832174301147,0.7774579524993896,0.9225965738296509,1.0,0.9607503414154053,0.9096580743789673,0.8823298215866089,0.8839255571365356,0.846505880355835,0.8376593589782715,0.812375009059906,0.8046896457672119,0.7762707471847534,0.7800350189208984,0.7858872413635254,0.7715193033218384,0.7735742330551147,0.7602428793907166,0.7365465760231018,0.7359239459037781,0.7259092926979065,0.732014536857605,0.7679380178451538,0.7579165101051331,0.751950740814209,0.7658127546310425,0.7280245423316956,0.6171154379844666,0.5861843228340149,0.5418387055397034,0.5304833054542542,0.4578202962875366,0.3901436924934387,0.3261193633079529,0.3950454592704773,0.4658660888671875,0.49872177839279175,0.5181986093521118,0.5735453963279724,0.6884629726409912,0.7721168398857117,0.7553472518920898,0.7197381258010864,0.7253193259239197,0.7690179944038391,0.7698445916175842,0.769317626953125,0.7657349109649658,0.7534402012825012,0.7701237797737122,0.7746440768241882,0.7564677596092224,0.766970694065094,0.7799292206764221,0.7900078296661377,0.8088653683662415,0.8223315477371216,0.839662492275238,0.8602156043052673,0.866376519203186,0.887146532535553,0.9139824509620667,0.9403774738311768,0.9460121989250183,0.797921359539032,0.7350200414657593,0.6565002202987671,0.6175088882446289,0.6076803803443909
35,0.49107474088668823,0.5543074607849121,0.5330440998077393,0.671390175819397,0.7521911859512329,0.9001306891441345,0.9607503414154053,1.0,0.9502110481262207,0.9115403890609741,0.9253591299057007,0.8909617066383362,0.8847198486328125,0.8552807569503784,0.8450968861579895,0.8178684711456299,0.8209559917449951,0.8188153505325317,0.7911846041679382,0.7971959114074707,0.7816425561904907,0.7702367901802063,0.7715281248092651,0.7639610171318054,0.7609585523605347,0.7904404401779175,0.7861985564231873,0.7620916366577148,0.7654826641082764,0.7243965268135071,0.5888768434524536,0.554667055606842,0.4999077320098877,0.48028311133384705,0.4150112271308899,0.3595830798149109,0.294599324464798,0.3558772802352905,0.4139765501022339,0.4542752504348755,0.4771268963813782,0.533147931098938,0.6620092391967773,0.7659165859222412,0.7626591920852661,0.7258034348487854,0.7469662427902222,0.7889790534973145,0.7945490479469299,0.8058184385299683,0.8053725957870483,0.776976466178894,0.7885438203811646,0.7873735427856445,0.7731599807739258,0.7898740172386169,0.8087297677993774,0.8258472084999084,0.8503357172012329,0.8555831909179688,0.8791444301605225,0.8958536386489868,0.8990431427955627,0.9113167524337769,0.9282711744308472,0.9471501708030701,0.9116834402084351,0.7543491721153259,0.7076947689056396,0.615829586982727,0.5558003783226013,0.5655428171157837
40,0.44499683380126953,0.4739530682563782,0.4695631265640259,0.5890849232673645,0.6693418622016907,0.8216645121574402,0.9096580743789673,0.9502110481262207,0.9999998807907104,0.9699450731277466,0.9648450613021851,0.9450898766517639,0.9367659091949463,0.9116038084030151,0.8978936076164246,0.8664915561676025,0.8583558797836304,0.8502156138420105,0.8214019536972046,0.8300470113754272,0.8041168451309204,0.7839709520339966,0.7753188610076904,0.7602747678756714,0.7471458315849304,0.7617897391319275,0.7416747212409973,0.7185827493667603,0.7080503702163696,0.660717785358429,0.5194700956344604,0.4828951060771942,0.43235668540000916,0.4123697876930237,0.35969221591949463,0.29340749979019165,0.25534361600875854,0.296487033367157,0.35917770862579346,0.38522109389305115,0.4054702818393707,0.4658057987689972,0.5902022123336792,0.7009594440460205,0.7001372575759888,0.6947665214538574,0.72422856092453,0.7738763689994812,0.779069721698761,0.7996123433113098,0.802538275718689,0.7764807939529419,0.8087954521179199,0.8039220571517944,0.7921387553215027,0.8089859485626221,0.8341464400291443,0.8611572980880737,0.8955137133598328,0.8965458273887634,0.9186519384384155,0.9276620149612427,0.9468414187431335,0.9542436599731445,0.9512926340103149,0.9154749512672424,0.8755308389663696,0.6548687219619751,0.6181711554527283,0.5260446071624756,0.4885548949241638,0.4998776316642761
45,0.43305790424346924,0.4308862090110779,0.4174933433532715,0.5332775712013245,0.6059331893920898,0.7727688550949097,0.8823298215866089,0.9115403890609741,0.9699450731277466,1.0000001192092896,0.9775494337081909,0.965175211429596,0.9508079886436462,0.9345423579216003,0.9133133292198181,0.8832074403762817,0.873845636844635,0.8641805648803711,0.8445963859558105,0.8482253551483154,0.8274013996124268,0.8038108944892883,0.7933962941169739,0.7809714078903198,0.7740188837051392,0.777165412902832,0.7505751848220825,0.7328453063964844,0.7195218801498413,0.6701760292053223,0.5287827253341675,0.48651790618896484,0.4283905625343323,0.39969947934150696,0.3538922369480133,0.2804061770439148,0.2524813115596771,0.27791520953178406,0.35171031951904297,0.3667055070400238,0.3978763818740845,0.4722859859466553,0.5967572331428528,0.7090365886688232,0.7042912244796753,0.7143115997314453,0.7375985980033875,0.7835245132446289,0.8000423312187195,0.8179652690887451,0.8173801898956299,0.8004969358444214,0.8350149393081665,0.8262380361557007,0.814711332321167,0.8242274522781372,0.8551901578903198,0.8743791580200195,0.9057228565216064,0.9178463220596313,0.9422662258148193,0.9511318206787109,0.9683998823165894,0.973668098449707,0.9460767507553101,0.8933718204498291,0.8632367849349976,0.6179707050323486,0.5692739486694336,0.48192912340164185,0.44009870290756226,0.4619494676589966
