,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355
0,1.0,0.9771273136138916,0.9685656428337097,0.9520776271820068,0.9477596282958984,0.9500144124031067,0.9346469044685364,0.9426428079605103,0.9389435648918152,0.934627115726471,0.906731367111206,0.8988800644874573,0.9008294343948364,0.8847395181655884,0.8880026340484619,0.8845717906951904,0.8731834888458252,0.8866690993309021,0.8948877453804016,0.893393337726593,0.8722928166389465,0.8675703406333923,0.8523657917976379,0.8457763195037842,0.8170195817947388,0.8179537653923035,0.8243281245231628,0.8555643558502197,0.8521542549133301,0.8749154806137085,0.8577427864074707,0.8531177639961243,0.8258716464042664,0.8373669385910034,0.8227458000183105,0.8126111626625061,0.8049561977386475,0.8103412985801697,0.7989513874053955,0.8039222359657288,0.8095729351043701,0.8094424605369568,0.833092451095581,0.8530372381210327,0.839455783367157,0.8084642887115479,0.825480580329895,0.8365310430526733,0.8289545774459839,0.8935792446136475,0.8835282325744629,0.8802483081817627,0.8934512138366699,0.9046830534934998,0.8918434977531433,0.8775535821914673,0.881426215171814,0.8690271377563477,0.8792895078659058,0.9110537767410278,0.9127708673477173,0.9100643396377563,0.9186059236526489,0.9412980675697327,0.9386741518974304,0.9459527134895325,0.9492826461791992,0.9500113129615784,0.9401472806930542,0.9407075047492981,0.9635196924209595,0.9694300293922424
5,0.9771273136138916,1.0000001192092896,0.9825737476348877,0.9656831622123718,0.958675742149353,0.9573607444763184,0.9358538389205933,0.9415616393089294,0.9323069453239441,0.925453782081604,0.9014036059379578,0.8887543082237244,0.8836405873298645,0.8825204968452454,0.8758439421653748,0.8646236658096313,0.8460296392440796,0.8677811026573181,0.8858740925788879,0.8767229318618774,0.8641274571418762,0.866446852684021,0.8514686226844788,0.8366528153419495,0.8081066012382507,0.81371009349823,0.8239480257034302,0.8574430346488953,0.8588102459907532,0.8753091096878052,0.8671655654907227,0.8669593334197998,0.8326350450515747,0.8499734401702881,0.8335515856742859,0.8252237439155579,0.8139148354530334,0.8143948912620544,0.8093987107276917,0.8144423365592957,0.8173631429672241,0.8201794624328613,0.83869469165802,0.8528059720993042,0.8465504050254822,0.813850462436676,0.8274607062339783,0.8343475461006165,0.8232921957969666,0.8955402374267578,0.8862777948379517,0.8829015493392944,0.8907957077026367,0.8944944143295288,0.901556134223938,0.8718796968460083,0.8692641854286194,0.8555688261985779,0.8663601279258728,0.9025695323944092,0.8995116949081421,0.904247522354126,0.9115872979164124,0.9330627918243408,0.9306102395057678,0.9426222443580627,0.9516534209251404,0.955278754234314,0.9446077942848206,0.9524649381637573,0.9767730236053467,0.9853522777557373
10,0.9685656428337097,0.9825737476348877,1.0,0.9886074066162109,0.9813990592956543,0.9772365689277649,0.9635151028633118,0.9655938744544983,0.9547654390335083,0.9439650774002075,0.9323774576187134,0.9121854901313782,0.8980719447135925,0.89507657289505,0.8927087187767029,0.8804835677146912,0.8667553067207336,0.8850013017654419,0.9001573920249939,0.8935875296592712,0.8785890936851501,0.880328357219696,0.8637411594390869,0.8426668047904968,0.8136069774627686,0.8194155097007751,0.8287912011146545,0.8643215298652649,0.8668470978736877,0.8767533898353577,0.8730340600013733,0.8677717447280884,0.8418713808059692,0.8564561009407043,0.8397870063781738,0.8298638463020325,0.8225387930870056,0.8271912932395935,0.8158475756645203,0.8184477090835571,0.8272669911384583,0.829817533493042,0.8482028245925903,0.8579256534576416,0.8536731600761414,0.822693407535553,0.8322772979736328,0.8390589356422424,0.8316410779953003,0.8945044279098511,0.8880976438522339,0.8947185277938843,0.9006656408309937,0.9096454977989197,0.9105338454246521,0.883090615272522,0.8851383924484253,0.8685526251792908,0.882154643535614,0.9186197519302368,0.9166362285614014,0.9247134923934937,0.9342798590660095,0.94971764087677,0.9505072832107544,0.9635370969772339,0.9690061807632446,0.9770866632461548,0.9744599461555481,0.9816064834594727,0.9927365779876709,0.9802983403205872
15,0.9520776271820068,0.9656831622123718,0.9886074066162109,1.0000001192092896,0.9886040687561035,0.9819507598876953,0.973503828048706,0.9750161170959473,0.9597756266593933,0.9464190006256104,0.9456443190574646,0.9243844747543335,0.8957718014717102,0.8932304382324219,0.8894175887107849,0.8753397464752197,0.8605234622955322,0.8789463639259338,0.902795135974884,0.8893234729766846,0.8689827919006348,0.8691002130508423,0.8495790362358093,0.8276868462562561,0.7952067852020264,0.8013201355934143,0.8127011060714722,0.8520344495773315,0.8558001518249512,0.8653093576431274,0.8620123863220215,0.857247531414032,0.8314147591590881,0.8458200693130493,0.8299447298049927,0.8181394934654236,0.8103234767913818,0.8176095485687256,0.8059273958206177,0.8086207509040833,0.8159886002540588,0.8134753704071045,0.8304623365402222,0.8444889783859253,0.8425620794296265,0.8125367760658264,0.8178790807723999,0.8209215402603149,0.8119735717773438,0.881127119064331,0.8750150799751282,0.8841524124145508,0.8930771350860596,0.9035196900367737,0.9067459106445312,0.8752739429473877,0.8758163452148438,0.8609679937362671,0.872616708278656,0.9194244742393494,0.9185436964035034,0.9351950287818909,0.9459637403488159,0.9560658931732178,0.9562339186668396,0.9727311134338379,0.9769251346588135,0.9817022681236267,0.9811623692512512,0.9909918308258057,0.9843441247940063,0.9604814052581787
20,0.9477596282958984,0.958675742149353,0.9813990592956543,0.9886040687561035,1.0,0.9895224571228027,0.9797477722167969,0.9776253700256348,0.9687972664833069,0.9586518406867981,0.9512125253677368,0.933194100856781,0.9076429009437561,0.9082677364349365,0.9008570909500122,0.8861943483352661,0.873712956905365,0.8926548361778259,0.9132734537124634,0.8933754563331604,0.8717527985572815,0.8713141083717346,0.8562175035476685,0.8347899913787842,0.8036264181137085,0.8096882104873657,0.8188557028770447,0.8614470362663269,0.8650360703468323,0.8712397217750549,0.8682515621185303,0.8608990907669067,0.8374864459037781,0.854661762714386,0.838819146156311,0.8340985178947449,0.8261845111846924,0.8299610614776611,0.8139634132385254,0.8157329559326172,0.821224570274353,0.8247479796409607,0.8413069844245911,0.8510336875915527,0.851502537727356,0.820326566696167,0.8228768706321716,0.8285490870475769,0.8218544125556946,0.890335202217102,0.8815358877182007,0.8931358456611633,0.8975334167480469,0.9073396921157837,0.9224309921264648,0.8956480622291565,0.8933841586112976,0.8770237565040588,0.8880087733268738,0.9289814829826355,0.9308983087539673,0.9460893869400024,0.9527065753936768,0.9602001905441284,0.9608226418495178,0.9725973010063171,0.9805690050125122,0.9811114072799683,0.9877082705497742,0.9848867654800415,0.9778108596801758,0.957651674747467
25,0.9500144124031067,0.9573607444763184,0.9772365689277649,0.9819507598876953,0.9895224571228027,0.9999996423721313,0.9832139611244202,0.9839898943901062,0.9771036505699158,0.9683828353881836,0.9548667073249817,0.9370860457420349,0.9305286407470703,0.9246383905410767,0.9208208918571472,0.907670259475708,0.9008535742759705,0.9193509817123413,0.9327986240386963,0.9225208163261414,0.9004209041595459,0.8976588249206543,0.884583592414856,0.8682346940040588,0.8378267288208008,0.8461279273033142,0.852785050868988,0.8844097852706909,0.8867394924163818,0.8960126638412476,0.8870025873184204,0.8811577558517456,0.8499894142150879,0.8699126243591309,0.8517422080039978,0.8390159010887146,0.8313833475112915,0.8377225399017334,0.8292675614356995,0.8326590657234192,0.8375961780548096,0.8404868841171265,0.8639269471168518,0.8770588040351868,0.8726664185523987,0.8412309885025024,0.8524006605148315,0.8599944710731506,0.8507792353630066,0.9101148247718811,0.9042302370071411,0.9137458205223083,0.9214469194412231,0.9333202838897705,0.9364452958106995,0.9138756394386292,0.9129546284675598,0.8946973085403442,0.9070245027542114,0.9499845504760742,0.9473820924758911,0.9490111470222473,0.9554333090782166,0.9707340002059937,0.9737719297409058,0.9817440509796143,0.98783940076828,0.9864148497581482,0.9800679683685303,0.9801146984100342,0.9781696796417236,0.9553202390670776
30,0.9346469044685364,0.9358538389205933,0.9635151028633118,0.973503828048706,0.9797477722167969,0.9832139611244202,1.000000238418579,0.9807599782943726,0.973329484462738,0.9668832421302795,0.972487211227417,0.9593403935432434,0.9334864020347595,0.9289127588272095,0.9312334656715393,0.9143086671829224,0.9031036496162415,0.9117993116378784,0.9239495396614075,0.9116408824920654,0.8865556120872498,0.8854714035987854,0.8744579553604126,0.8615157604217529,0.8288533687591553,0.8318548798561096,0.8324477672576904,0.8659756183624268,0.8679410815238953,0.8755753636360168,0.8661284446716309,0.8571962714195251,0.8277435898780823,0.843887448310852,0.825050950050354,0.8152674436569214,0.8120328187942505,0.8161296844482422,0.8034288287162781,0.8066859841346741,0.8111962676048279,0.8132823705673218,0.8383722305297852,0.8532019257545471,0.8497382402420044,0.8147030472755432,0.8294834494590759,0.8410052061080933,0.835674524307251,0.8966436982154846,0.8873137831687927,0.9016190767288208,0.9089603424072266,0.9239816069602966,0.9278848767280579,0.9070019125938416,0.9170516729354858,0.9028410911560059,0.9169642925262451,0.9512913823127747,0.9521644711494446,0.9708636999130249,0.9765937924385071,0.9746723771095276,0.9677083492279053,0.9738278388977051,0.9847346544265747,0.9744172096252441,0.9838073253631592,0.9756957292556763,0.9657629132270813,0.9369256496429443
35,0.9426428079605103,0.9415616393089294,0.9655938744544983,0.9750161170959473,0.9776253700256348,0.9839898943901062,0.9807599782943726,1.0000001192092896,0.9897515177726746,0.9729851484298706,0.9690263271331787,0.9470317363739014,0.9388066530227661,0.9289081692695618,0.9281734824180603,0.9178608655929565,0.913550853729248,0.9275023937225342,0.9417855739593506,0.9334575533866882,0.9086982011795044,0.9047425389289856,0.884633481502533,0.8675944209098816,0.8387473821640015,0.842392086982727,0.8473124504089355,0.8797354698181152,0.879454493522644,0.8909298181533813,0.8824201822280884,0.8759264945983887,0.854606032371521,0.8678538799285889,0.8519701957702637,0.8369171619415283,0.829779326915741,0.8418451547622681,0.8309150338172913,0.8308802247047424,0.8412190079689026,0.8358147740364075,0.8580300807952881,0.8744258880615234,0.8649100065231323,0.8395473957061768,0.8509650826454163,0.8564398288726807,0.8541809320449829,0.904102087020874,0.8997304439544678,0.9097900986671448,0.9262042045593262,0.9422380924224854,0.933565080165863,0.9162273406982422,0.9116469621658325,0.8956689834594727,0.9089238047599792,0.9555883407592773,0.9544092416763306,0.9531838297843933,0.961012065410614,0.9744278788566589,0.9857150316238403,0.9906867146492004,0.9843569993972778,0.9799031615257263,0.9729054570198059,0.9751075506210327,0.9626876711845398,0.9355287551879883
40,0.9389435648918152,0.9323069453239441,0.9547654390335083,0.9597756266593933,0.9687972664833069,0.9771036505699158,0.973329484462738,0.9897515177726746,0.9999998807907104,0.987970232963562,0.9686525464057922,0.9513587951660156,0.9544191956520081,0.9392431974411011,0.944473385810852,0.9391486644744873,0.9350804686546326,0.9399069547653198,0.9414984583854675,0.9406920075416565,0.9180323481559753,0.9161749482154846,0.9011138677597046,0.8889477849006653,0.8558275103569031,0.8580291271209717,0.8558377027511597,0.8877733945846558,0.8850913047790527,0.8982915878295898,0.8870829343795776,0.8764139413833618,0.8563627600669861,0.8645654916763306,0.8503336310386658,0.8375928401947021,0.8326894640922546,0.8428422808647156,0.8282099366188049,0.8266904354095459,0.8390867710113525,0.8397201299667358,0.8652358651161194,0.8829455375671387,0.8699648380279541,0.8403782248497009,0.8553847074508667,0.8674538731575012,0.8690553307533264,0.9132124781608582,0.908685028553009,0.9227476716041565,0.9329961538314819,0.9559186697006226,0.9390461444854736,0.9294042587280273,0.9329667687416077,0.9210821390151978,0.9325761795043945,0.9636577367782593,0.9675869345664978,0.9601884484291077,0.9670315980911255,0.9825628399848938,0.9895224571228027,0.985059380531311,0.9776020646095276,0.970287561416626,0.9699552059173584,0.9613649845123291,0.9513692855834961,0.9285848140716553
45,0.934627115726471,0.925453782081604,0.9439650774002075,0.9464190006256104,0.9586518406867981,0.9683828353881836,0.9668832421302795,0.9729851484298706,0.987970232963562,1.0000003576278687,0.9725730419158936,0.9633975028991699,0.96815025806427,0.9509859681129456,0.958760678768158,0.9524958729743958,0.9467167854309082,0.9495233297348022,0.9451253414154053,0.9458373785018921,0.9227336049079895,0.9186174869537354,0.9100398421287537,0.9086003303527832,0.873345136642456,0.8741996884346008,0.8687934279441833,0.892615020275116,0.8893129229545593,0.9085488319396973,0.8900304436683655,0.8788058161735535,0.8480863571166992,0.8593697547912598,0.8430882096290588,0.8290711045265198,0.8247103095054626,0.8313303589820862,0.8218461275100708,0.822158694267273,0.8308068513870239,0.837577760219574,0.8681795001029968,0.8894151449203491,0.8754879832267761,0.842223584651947,0.8630321621894836,0.8751684427261353,0.8773332834243774,0.9249753952026367,0.9207273721694946,0.9294576644897461,0.937711775302887,0.9597153663635254,0.9437429904937744,0.936397135257721,0.9437791705131531,0.941662609577179,0.9514119029045105,0.9711539149284363,0.9777902960777283,0.9720064401626587,0.9757238030433655,0.9854885339736938,0.9779400825500488,0.9693944454193115,0.9703423976898193,0.9579992294311523,0.9623191356658936,0.9488078355789185,0.9430219531059265,0.9261103868484497
