,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355
0,1.0000001192092896,0.8226959705352783,0.8171795606613159,0.8380996584892273,0.8326462507247925,0.8254604339599609,0.8148123025894165,0.8291758298873901,0.8141357898712158,0.8033758401870728,0.8242790699005127,0.8432275056838989,0.8368843793869019,0.8252214193344116,0.8521177172660828,0.8439981937408447,0.8383971452713013,0.7960279583930969,0.9987214803695679,0.8082290887832642,0.8282216191291809,0.8374668955802917,0.833620011806488,0.8240324258804321,0.8294038772583008,0.8308843374252319,0.8110601902008057,0.7969962954521179,0.8262444138526917,0.8488739132881165,0.8408509492874146,0.836458146572113,0.8431634902954102,0.8460893034934998,0.8184748888015747,0.8307281732559204,1.0000001192092896,0.8226926922798157,0.8171795606613159,0.8380991220474243,0.8326462507247925,0.8254604339599609,0.8148123025894165,0.8291758298873901,0.8141353130340576,0.8027013540267944,0.824293315410614,0.8432275056838989,0.8368843793869019,0.8252149820327759,0.8521111607551575,0.8439988493919373,0.8383971452713013,0.7960147857666016,0.9987214803695679,0.8082274198532104,0.8282216191291809,0.8374668955802917,0.833620011806488,0.8240324258804321,0.8294038772583008,0.8308843374252319,0.8110562562942505,0.796454668045044,0.8262410163879395,0.8488739132881165,0.8408509492874146,0.836458146572113,0.8431634902954102,0.8460893034934998,0.8184748888015747,0.8307167887687683
5,0.8226959705352783,0.9999998807907104,0.9879827499389648,0.9722688794136047,0.961800217628479,0.9510735869407654,0.9410042762756348,0.9284532070159912,0.8594211339950562,0.7414182424545288,0.8611094951629639,0.9220190048217773,0.9364901781082153,0.9520285129547119,0.9610946178436279,0.9732369184494019,0.9828981161117554,0.9866560697555542,0.8165568113327026,0.9981337189674377,0.9860414862632751,0.9726513028144836,0.9600384831428528,0.9504243731498718,0.9400357007980347,0.9248274564743042,0.8534804582595825,0.741015613079071,0.8635216355323792,0.919979453086853,0.9391208291053772,0.9490719437599182,0.9624216556549072,0.9718603491783142,0.9840710163116455,0.9942249059677124,0.8226959705352783,1.0,0.9879827499389648,0.9722691178321838,0.961800217628479,0.9510735869407654,0.9410042762756348,0.9284532070159912,0.859432578086853,0.7403278350830078,0.8611178398132324,0.9220190048217773,0.9364901781082153,0.9520215392112732,0.9610955715179443,0.9732375741004944,0.9828981161117554,0.9866528511047363,0.8165568113327026,0.9981334805488586,0.9860414862632751,0.9726513028144836,0.9600384831428528,0.9504243731498718,0.9400357007980347,0.9248274564743042,0.8534799218177795,0.7406094670295715,0.8635110855102539,0.919979453086853,0.9391208291053772,0.9490719437599182,0.9624216556549072,0.9718603491783142,0.9840710163116455,0.9942247867584229
10,0.8171795606613159,0.9879827499389648,1.0000001192092896,0.9892042279243469,0.9813413619995117,0.972520112991333,0.9665985107421875,0.9532146453857422,0.8858409523963928,0.7678185105323792,0.8878066539764404,0.9450275897979736,0.9589447379112244,0.9698522090911865,0.9756507873535156,0.9865829348564148,0.9917867183685303,0.9777278304100037,0.8111544847488403,0.9869630336761475,0.9978998899459839,0.9901733994483948,0.980333685874939,0.9722779989242554,0.9656909704208374,0.94980788230896,0.881942868232727,0.768572211265564,0.8905227184295654,0.9426432847976685,0.9624099731445312,0.9670557975769043,0.9772171974182129,0.9865317344665527,0.994441032409668,0.9854815006256104,0.8171795606613159,0.9879833459854126,1.0000001192092896,0.9892043471336365,0.9813413619995117,0.972520112991333,0.9665985107421875,0.9532146453857422,0.8858520984649658,0.7667902708053589,0.8878154754638672,0.9450275897979736,0.9589447379112244,0.9698469042778015,0.9756514430046082,0.9865826964378357,0.9917867183685303,0.9777235388755798,0.8111544847488403,0.986964225769043,0.9978998899459839,0.9901733994483948,0.980333685874939,0.9722779989242554,0.9656909704208374,0.94980788230896,0.8819436430931091,0.7681159973144531,0.8905123472213745,0.9426432847976685,0.9624099731445312,0.9670557975769043,0.9772171974182129,0.9865317344665527,0.994441032409668,0.9854795932769775
15,0.8380996584892273,0.9722688794136047,0.9892042279243469,0.9999997615814209,0.9953789710998535,0.9890832901000977,0.9831249713897705,0.9759491682052612,0.9209731817245483,0.8160816431045532,0.9237077236175537,0.9695868492126465,0.977272629737854,0.9821226596832275,0.9889332056045532,0.9936174750328064,0.9865761399269104,0.9578090906143188,0.8332007527351379,0.9667606949806213,0.9915755987167358,0.9992471933364868,0.9949593544006348,0.9891461133956909,0.9852470755577087,0.9740206003189087,0.9180809855461121,0.8155556917190552,0.9256799221038818,0.9681090116500854,0.9785491228103638,0.9834469556808472,0.9885048866271973,0.9938609600067139,0.9841225147247314,0.9736360907554626,0.8380996584892273,0.9722689390182495,0.9892042279243469,0.9999998807907104,0.9953789710998535,0.9890832901000977,0.9831249713897705,0.9759491682052612,0.9209814667701721,0.8151620626449585,0.9237151145935059,0.9695868492126465,0.977272629737854,0.9821177124977112,0.9889332056045532,0.9936172962188721,0.9865761399269104,0.9578036069869995,0.8332007527351379,0.9667621850967407,0.9915755987167358,0.9992471933364868,0.9949593544006348,0.9891461133956909,0.9852470755577087,0.9740206003189087,0.9180821180343628,0.8150674104690552,0.9256718754768372,0.9681090116500854,0.9785491228103638,0.9834469556808472,0.9885048866271973,0.9938609600067139,0.9841225147247314,0.9736308455467224
20,0.8326462507247925,0.961800217628479,0.9813413619995117,0.9953789710998535,1.0,0.995500385761261,0.991098940372467,0.9844905138015747,0.9318873882293701,0.8269078731536865,0.9357488751411438,0.9782615303993225,0.9848377704620361,0.990094780921936,0.9924196004867554,0.9911152124404907,0.9787997007369995,0.9507949948310852,0.8266097903251648,0.9561053514480591,0.9842285513877869,0.9952235221862793,0.999394416809082,0.9946034550666809,0.991382360458374,0.982506513595581,0.9290245771408081,0.8267532587051392,0.9366108775138855,0.9771784543991089,0.9834610819816589,0.9891484975814819,0.9930892586708069,0.9909169673919678,0.9787692427635193,0.9639477133750916,0.8326462507247925,0.9617997407913208,0.9813413619995117,0.9953787326812744,1.0,0.995500385761261,0.991098940372467,0.9844905138015747,0.9318956732749939,0.825899064540863,0.9357540607452393,0.9782615303993225,0.9848377704620361,0.9900915622711182,0.9924197196960449,0.9911149144172668,0.9787997007369995,0.9507899284362793,0.8266097903251648,0.9561070203781128,0.9842285513877869,0.9952235221862793,0.999394416809082,0.9946034550666809,0.991382360458374,0.982506513595581,0.929025411605835,0.8262503147125244,0.936603307723999,0.9771784543991089,0.9834610819816589,0.9891484975814819,0.9930892586708069,0.9909169673919678,0.9787692427635193,0.9639409780502319
25,0.8254604339599609,0.9510735869407654,0.972520112991333,0.9890832901000977,0.995500385761261,0.9999998211860657,0.9933080673217773,0.9902753829956055,0.9418008327484131,0.8382049798965454,0.943909764289856,0.9844865202903748,0.9863793849945068,0.9912112355232239,0.9872384071350098,0.9833716750144958,0.969895601272583,0.9414675235748291,0.8196763396263123,0.945172131061554,0.9757957458496094,0.9893146753311157,0.9953800439834595,0.9985772371292114,0.9942881464958191,0.9888904094696045,0.9392569065093994,0.8378220796585083,0.9450943470001221,0.9832001328468323,0.9838707447052002,0.9913958311080933,0.987717866897583,0.9838032722473145,0.9701662063598633,0.9542442560195923,0.8254604339599609,0.9510719180107117,0.972520112991333,0.9890830516815186,0.995500385761261,0.9999998211860657,0.9933080673217773,0.9902753829956055,0.9418070912361145,0.8372401595115662,0.9439150094985962,0.9844865202903748,0.9863793849945068,0.9912084341049194,0.9872382283210754,0.9833712577819824,0.969895601272583,0.9414628148078918,0.8196763396263123,0.9451732635498047,0.9757957458496094,0.9893146753311157,0.9953800439834595,0.9985772371292114,0.9942881464958191,0.9888904094696045,0.9392580986022949,0.837352991104126,0.9450868964195251,0.9832001328468323,0.9838707447052002,0.9913958311080933,0.987717866897583,0.9838032722473145,0.9701662063598633,0.9542378783226013
30,0.8148123025894165,0.9410042762756348,0.9665985107421875,0.9831249713897705,0.991098940372467,0.9933080673217773,1.0,0.9940669536590576,0.9508980512619019,0.8477839827537537,0.9547342658042908,0.9890291690826416,0.993420422077179,0.9907987117767334,0.9834035038948059,0.9810808897018433,0.9637810587882996,0.9377200603485107,0.809177041053772,0.9370385408401489,0.9696935415267944,0.983513593673706,0.9908815026283264,0.993255615234375,0.997448742389679,0.992779016494751,0.9487400054931641,0.8489135503768921,0.9548037648200989,0.9878298044204712,0.9912480115890503,0.9900491833686829,0.9848304390907288,0.9817948341369629,0.9669751524925232,0.9464287757873535,0.8148123025894165,0.9410036206245422,0.9665985107421875,0.983124852180481,0.991098940372467,0.9933080673217773,1.0,0.9940669536590576,0.9509052038192749,0.8467682600021362,0.9547375440597534,0.9890291690826416,0.993420422077179,0.9907978773117065,0.9834036827087402,0.9810799360275269,0.9637810587882996,0.9377157688140869,0.809177041053772,0.9370404481887817,0.9696935415267944,0.983513593673706,0.9908815026283264,0.993255615234375,0.997448742389679,0.992779016494751,0.9487413167953491,0.8483992218971252,0.9547970294952393,0.9878298044204712,0.9912480115890503,0.9900491833686829,0.9848304390907288,0.9817948341369629,0.9669751524925232,0.9464226961135864
35,0.8291758298873901,0.9284532070159912,0.9532146453857422,0.9759491682052612,0.9844905138015747,0.9902753829956055,0.9940669536590576,0.9999998807907104,0.9701245427131653,0.8796882629394531,0.9727352857589722,0.9959038496017456,0.9897536039352417,0.9838744401931763,0.9767487049102783,0.9712834358215332,0.9536497592926025,0.9244423508644104,0.8245624899864197,0.9229848980903625,0.9589328169822693,0.9762060046195984,0.985004186630249,0.9913797378540039,0.9949951171875,0.9989758729934692,0.9686821103096008,0.8804869055747986,0.9727780222892761,0.9944328665733337,0.9866831302642822,0.986268162727356,0.9762445688247681,0.9730652570724487,0.9537409543991089,0.9368592500686646,0.8291758298873901,0.9284518957138062,0.9532146453857422,0.9759489297866821,0.9844905138015747,0.9902753829956055,0.9940669536590576,0.9999998807907104,0.9701300859451294,0.878830075263977,0.9727393388748169,0.9959038496017456,0.9897536039352417,0.9838721752166748,0.9767476320266724,0.9712824821472168,0.9536497592926025,0.9244376420974731,0.8245624899864197,0.9229864478111267,0.9589328169822693,0.9762060046195984,0.985004186630249,0.9913797378540039,0.9949951171875,0.9989758729934692,0.968683123588562,0.8801102042198181,0.9727718234062195,0.9944328665733337,0.9866831302642822,0.986268162727356,0.9762445688247681,0.9730652570724487,0.9537409543991089,0.9368512034416199
40,0.8141357898712158,0.8594211339950562,0.8858409523963928,0.9209731817245483,0.9318873882293701,0.9418008327484131,0.9508980512619019,0.9701245427131653,1.0,0.9557103514671326,0.9972211122512817,0.9713273048400879,0.9498903751373291,0.9298185706138611,0.9220001101493835,0.9131430983543396,0.8937718868255615,0.8555928468704224,0.8114323019981384,0.8506702780723572,0.8982271552085876,0.9209151864051819,0.9331014752388,0.9452913403511047,0.9567531943321228,0.9713542461395264,0.9984688758850098,0.9566777348518372,0.9968631267547607,0.9701534509658813,0.9455264806747437,0.9376972913742065,0.9193205237388611,0.9165576100349426,0.8887962102890015,0.8734247088432312,0.8141357898712158,0.8594179749488831,0.8858409523963928,0.9209728240966797,0.9318873882293701,0.9418008327484131,0.9508980512619019,0.9701245427131653,1.0000001192092896,0.9552035331726074,0.9972208738327026,0.9713273048400879,0.9498903751373291,0.9298145771026611,0.9219974875450134,0.913142204284668,0.8937718868255615,0.8555883765220642,0.8114323019981384,0.8506711721420288,0.8982271552085876,0.9209151864051819,0.9331014752388,0.9452913403511047,0.9567531943321228,0.9713542461395264,0.998468816280365,0.9564921259880066,0.9968634843826294,0.9701534509658813,0.9455264806747437,0.9376972913742065,0.9193205237388611,0.9165576100349426,0.8887962102890015,0.8734142780303955
45,0.8033758401870728,0.7414182424545288,0.7678185105323792,0.8160816431045532,0.8269078731536865,0.8382049798965454,0.8477839827537537,0.8796882629394531,0.9557103514671326,1.0000001192092896,0.9542012214660645,0.8904002904891968,0.8567253351211548,0.8225662112236023,0.8240711092948914,0.8087362051010132,0.7881110906600952,0.7310293316841125,0.8043438792228699,0.7280831336975098,0.7861549854278564,0.8150926232337952,0.8280908465385437,0.8444457054138184,0.862545371055603,0.884467601776123,0.9561225175857544,0.9986448287963867,0.9547418355941772,0.89144366979599,0.8536134362220764,0.8405954837799072,0.815710186958313,0.8148092031478882,0.7729905843734741,0.7602289915084839,0.8033758401870728,0.741412878036499,0.7678185105323792,0.8160812258720398,0.8269078731536865,0.8382049798965454,0.8477839827537537,0.8796882629394531,0.9557023048400879,0.9999839067459106,0.9542009830474854,0.8904002904891968,0.8567253351211548,0.8225594162940979,0.8240659236907959,0.8087353706359863,0.7881110906600952,0.7310218214988708,0.8043438792228699,0.7280824780464172,0.7861549854278564,0.8150926232337952,0.8280908465385437,0.8444457054138184,0.862545371055603,0.884467601776123,0.9561203718185425,0.9986083507537842,0.9547495245933533,0.89144366979599,0.8536134362220764,0.8405954837799072,0.815710186958313,0.8148092031478882,0.7729905843734741,0.7602139115333557
