,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355
0,1.0,0.9667308926582336,0.9529247879981995,0.9192009568214417,0.9122305512428284,0.9056957364082336,0.8749198913574219,0.8687925338745117,0.8205605745315552,0.798783004283905,0.7625479698181152,0.7206512689590454,0.6853660941123962,0.6443052291870117,0.6184173226356506,0.5855877995491028,0.5731428861618042,0.5410035252571106,0.5187149047851562,0.5343141555786133,0.5394120812416077,0.5380818247795105,0.5461020469665527,0.544312059879303,0.5253113508224487,0.5575774908065796,0.538468599319458,0.5340771079063416,0.5239794850349426,0.5382559299468994,0.501578152179718,0.5054299831390381,0.4914131760597229,0.5021007061004639,0.5029653310775757,0.48902982473373413,0.5165488719940186,0.4748927354812622,0.4744386076927185,0.43699491024017334,0.46749329566955566,0.4635569751262665,0.4929165244102478,0.48057472705841064,0.4776366949081421,0.4994262456893921,0.5100806951522827,0.5355473756790161,0.5741366147994995,0.5307431221008301,0.5345447063446045,0.5075900554656982,0.531067967414856,0.5135082602500916,0.48053985834121704,0.5115817785263062,0.5403805375099182,0.5612062215805054,0.5924469232559204,0.6386010646820068,0.6351513862609863,0.7143222093582153,0.7647017240524292,0.801040768623352,0.841960072517395,0.8592108488082886,0.8985257148742676,0.9089195728302002,0.9108902812004089,0.9288203716278076,0.9621599912643433,0.967258870601654
5,0.9667308926582336,0.9999999403953552,0.9642820358276367,0.9497880935668945,0.935086727142334,0.9295270442962646,0.9087139964103699,0.8871108293533325,0.8505619764328003,0.8213978409767151,0.7757967710494995,0.7255328893661499,0.6894887685775757,0.6487160921096802,0.6146069765090942,0.577994704246521,0.5699187517166138,0.5372281670570374,0.5179516673088074,0.5284161567687988,0.5302183628082275,0.5315611362457275,0.5447483658790588,0.5405837297439575,0.528113603591919,0.5558015704154968,0.5464271306991577,0.5348801612854004,0.532174289226532,0.5452383756637573,0.5088995099067688,0.5141355991363525,0.5068814754486084,0.5055806040763855,0.5115721821784973,0.4935869872570038,0.519250750541687,0.4798011779785156,0.483045369386673,0.4512515366077423,0.4780430793762207,0.4707382023334503,0.5004432201385498,0.4886291027069092,0.4793705642223358,0.4956470727920532,0.5092623233795166,0.5321269631385803,0.5685153007507324,0.5253968238830566,0.5357030034065247,0.5089932084083557,0.5406718850135803,0.5207765102386475,0.4847315549850464,0.5154159069061279,0.5401217937469482,0.5642823576927185,0.6033405065536499,0.6411954164505005,0.6400834321975708,0.7146462202072144,0.768258810043335,0.7968871593475342,0.8293561339378357,0.8583476543426514,0.8874678611755371,0.895789623260498,0.8995080590248108,0.9096132516860962,0.9476350545883179,0.9638673067092896
10,0.9529247879981995,0.9642820358276367,1.000000238418579,0.9547970294952393,0.9574856758117676,0.9524857401847839,0.9234868288040161,0.9112058877944946,0.8844069242477417,0.8468942642211914,0.8065347671508789,0.7530932426452637,0.7193459272384644,0.6801416277885437,0.6456285715103149,0.6075398921966553,0.5982075929641724,0.5578041076660156,0.5447444915771484,0.5451377630233765,0.5511842370033264,0.5480667948722839,0.5623289346694946,0.55683434009552,0.5285785794258118,0.5637712478637695,0.5470349788665771,0.5440205931663513,0.5423314571380615,0.5553141832351685,0.512673020362854,0.5170140862464905,0.5131691694259644,0.515291690826416,0.5169469714164734,0.5030078887939453,0.5292298793792725,0.47965776920318604,0.4956067204475403,0.44905799627304077,0.48636263608932495,0.47784724831581116,0.5032305121421814,0.49849969148635864,0.4828268885612488,0.507048487663269,0.5144694447517395,0.5423359870910645,0.5801354646682739,0.5398486256599426,0.5474168062210083,0.5229259133338928,0.5513116121292114,0.5368868708610535,0.504529595375061,0.531513512134552,0.5575240850448608,0.5766769051551819,0.6150004863739014,0.6553428769111633,0.6420674920082092,0.7324128150939941,0.7764996886253357,0.8031984567642212,0.8442380428314209,0.8616011142730713,0.8896876573562622,0.9059596061706543,0.902058482170105,0.9066937565803528,0.9439932703971863,0.9515180587768555
15,0.9192009568214417,0.9497880935668945,0.9547970294952393,1.0,0.9666247367858887,0.9639073610305786,0.9484491348266602,0.9162789583206177,0.8948600888252258,0.8672581911087036,0.8260899782180786,0.759678840637207,0.7348394393920898,0.6953742504119873,0.662020206451416,0.616905689239502,0.6086018681526184,0.57318115234375,0.5606936812400818,0.5572658777236938,0.5585319995880127,0.5693825483322144,0.5795495510101318,0.5652114152908325,0.5555596351623535,0.5800246000289917,0.5651901960372925,0.559131920337677,0.5539743304252625,0.5695659518241882,0.5401462912559509,0.5369008779525757,0.5351288318634033,0.5363343954086304,0.540398120880127,0.5228937864303589,0.546535074710846,0.4926530718803406,0.5028412342071533,0.47170490026474,0.49662113189697266,0.48789459466934204,0.5177499055862427,0.49817657470703125,0.4835611581802368,0.5042209625244141,0.5156176090240479,0.5413857102394104,0.5868232250213623,0.5367563962936401,0.5541974902153015,0.5314153432846069,0.5614184737205505,0.5437781810760498,0.5243483185768127,0.5431195497512817,0.5717928409576416,0.6049315929412842,0.6393764019012451,0.6789709329605103,0.6817318797111511,0.753614604473114,0.8088265061378479,0.8317244052886963,0.8535566329956055,0.8767688274383545,0.8952434062957764,0.9043074250221252,0.8977372646331787,0.8851361274719238,0.9215986132621765,0.920773983001709
20,0.9122305512428284,0.935086727142334,0.9574856758117676,0.9666247367858887,1.0000001192092896,0.9707919359207153,0.957216203212738,0.9361281394958496,0.9105082750320435,0.8781617283821106,0.8385146856307983,0.7726827263832092,0.7432502508163452,0.7048369646072388,0.6713547706604004,0.6175947189331055,0.6082093715667725,0.5674635171890259,0.5525440573692322,0.5594911575317383,0.555362343788147,0.562757134437561,0.5821054577827454,0.5678027272224426,0.5572675466537476,0.5928480625152588,0.5625137686729431,0.5609272718429565,0.5590627193450928,0.5729130506515503,0.5318225622177124,0.537339985370636,0.5449264049530029,0.5313003659248352,0.5369024276733398,0.5117670297622681,0.5413832068443298,0.4812780022621155,0.49194419384002686,0.45968639850616455,0.4994388222694397,0.49174994230270386,0.5201663970947266,0.5093280673027039,0.49112778902053833,0.5118600130081177,0.5259138345718384,0.5515704154968262,0.590415358543396,0.5449174642562866,0.5662211775779724,0.5348575115203857,0.5634944438934326,0.5488147735595703,0.525665819644928,0.5481292605400085,0.5636577010154724,0.6025153994560242,0.641857385635376,0.6789928674697876,0.6825970411300659,0.7603280544281006,0.8007246255874634,0.8269694447517395,0.8653000593185425,0.8737383484840393,0.8902411460876465,0.9024456143379211,0.899418830871582,0.8844876885414124,0.9198362231254578,0.9134151935577393
25,0.9056957364082336,0.9295270442962646,0.9524857401847839,0.9639073610305786,0.9707919359207153,1.0000001192092896,0.9660987854003906,0.9486408233642578,0.9320169687271118,0.896708607673645,0.8562204837799072,0.7950800061225891,0.7651424407958984,0.7254095077514648,0.6838701963424683,0.6340090036392212,0.6243757605552673,0.581143856048584,0.5712203979492188,0.5675358176231384,0.5704233646392822,0.57793790102005,0.5869825482368469,0.5801109671592712,0.5559534430503845,0.5921801924705505,0.5701274871826172,0.5703079700469971,0.5557146072387695,0.5843454599380493,0.5342109203338623,0.5406924486160278,0.5404810905456543,0.5470637679100037,0.5466660261154175,0.5205981731414795,0.5491883754730225,0.49140575528144836,0.5002444982528687,0.4599291980266571,0.4995523989200592,0.49044257402420044,0.5175169706344604,0.5156658291816711,0.4942609667778015,0.5224612951278687,0.5306187868118286,0.5639943480491638,0.6034564971923828,0.5588989853858948,0.5749318599700928,0.542300283908844,0.5718783140182495,0.557162880897522,0.5337844491004944,0.5522524118423462,0.5831961035728455,0.6119899153709412,0.6477343440055847,0.6953734159469604,0.686907172203064,0.7636987566947937,0.8107608556747437,0.8321702480316162,0.8629764914512634,0.881352424621582,0.886570155620575,0.9055231213569641,0.897814154624939,0.8817969560623169,0.9172449111938477,0.9087684154510498
30,0.8749198913574219,0.9087139964103699,0.9234868288040161,0.9484491348266602,0.957216203212738,0.9660987854003906,1.000000238418579,0.9579216837882996,0.9508072137832642,0.9235130548477173,0.8903242349624634,0.8169127702713013,0.788923978805542,0.7441167235374451,0.7098739147186279,0.6498645544052124,0.6367558836936951,0.5953249931335449,0.5809884667396545,0.5789344906806946,0.5787115097045898,0.5890073776245117,0.5991833806037903,0.5891671776771545,0.5885095596313477,0.6110411882400513,0.5932855606079102,0.5814977288246155,0.5778969526290894,0.5936937928199768,0.5524486899375916,0.5618846416473389,0.5683611631393433,0.560257077217102,0.5612517595291138,0.535698413848877,0.5568109750747681,0.502230703830719,0.5074551105499268,0.4880240559577942,0.514085054397583,0.5084549784660339,0.5433510541915894,0.5396744608879089,0.5168653726577759,0.5379961729049683,0.5532744526863098,0.5740268230438232,0.6138732433319092,0.5712111592292786,0.5873425006866455,0.5608129501342773,0.5905882716178894,0.5767822265625,0.5601129531860352,0.5725693702697754,0.5946587324142456,0.6326602697372437,0.6659220457077026,0.7093801498413086,0.7211355566978455,0.7929403781890869,0.8429480791091919,0.8500444293022156,0.8655051589012146,0.8819624185562134,0.8776243925094604,0.8913429379463196,0.8796687126159668,0.8512828350067139,0.8820444941520691,0.8753750324249268
35,0.8687925338745117,0.8871108293533325,0.9112058877944946,0.9162789583206177,0.9361281394958496,0.9486408233642578,0.9579216837882996,1.0,0.9614989161491394,0.9498088955879211,0.9133129715919495,0.8601999282836914,0.8373677730560303,0.7844809293746948,0.7414363026618958,0.6911076307296753,0.6762510538101196,0.6304166316986084,0.6113077998161316,0.6114144921302795,0.6076813340187073,0.6202529668807983,0.6296793222427368,0.6231204271316528,0.602259635925293,0.6403815150260925,0.6189484596252441,0.6087918877601624,0.5992298722267151,0.6235851049423218,0.5687407851219177,0.5731753706932068,0.5844383239746094,0.5895864963531494,0.5888311862945557,0.5563980340957642,0.5847128629684448,0.5313149690628052,0.5356868505477905,0.509303867816925,0.5450000762939453,0.5414788722991943,0.5683530569076538,0.5821682810783386,0.5455032587051392,0.5733950734138489,0.5852205753326416,0.6086424589157104,0.6472176313400269,0.6022719740867615,0.6198391914367676,0.5932586193084717,0.6214492321014404,0.6154342889785767,0.5859777927398682,0.6040642261505127,0.6316354274749756,0.6641976833343506,0.6999664306640625,0.7381396293640137,0.7344386577606201,0.8206718564033508,0.8559842109680176,0.862838864326477,0.8725439310073853,0.8874423503875732,0.8698127269744873,0.8825523853302002,0.8588424921035767,0.8371221423149109,0.8649625778198242,0.8579619526863098
40,0.8205605745315552,0.8505619764328003,0.8844069242477417,0.8948600888252258,0.9105082750320435,0.9320169687271118,0.9508072137832642,0.9614989161491394,1.0,0.9609068036079407,0.9309666156768799,0.8732435703277588,0.8502731919288635,0.8000426888465881,0.758025050163269,0.7048599720001221,0.6886873841285706,0.6356470584869385,0.6213731169700623,0.6136219501495361,0.6206584572792053,0.623401939868927,0.6288713812828064,0.6251717805862427,0.6106491088867188,0.6422007083892822,0.627403736114502,0.609395444393158,0.5927848219871521,0.6222079992294312,0.5682245492935181,0.5769205093383789,0.5887827277183533,0.5951928496360779,0.5935193300247192,0.5591186285018921,0.578837513923645,0.529649555683136,0.5363794565200806,0.5100688338279724,0.542393147945404,0.5339242219924927,0.5632550716400146,0.574079155921936,0.5461469888687134,0.5676294565200806,0.580630898475647,0.6000707149505615,0.6438440084457397,0.5998712778091431,0.6176799535751343,0.5977302193641663,0.6229305863380432,0.6135377287864685,0.5861893892288208,0.6000844240188599,0.6340744495391846,0.6623317003250122,0.6955898404121399,0.7298399209976196,0.7254335880279541,0.8042653799057007,0.8485009670257568,0.8456878662109375,0.8462837934494019,0.8637269735336304,0.843906819820404,0.854019284248352,0.8369420766830444,0.7997199892997742,0.8320622444152832,0.827232837677002
45,0.798783004283905,0.8213978409767151,0.8468942642211914,0.8672581911087036,0.8781617283821106,0.896708607673645,0.9235130548477173,0.9498088955879211,0.9609068036079407,1.0000001192092896,0.959581196308136,0.9142652750015259,0.9030487537384033,0.8567734956741333,0.8191870450973511,0.7676525115966797,0.752543568611145,0.7030805349349976,0.6872950792312622,0.6761336326599121,0.68080735206604,0.6875264644622803,0.6882095336914062,0.685320258140564,0.6715867519378662,0.6955356597900391,0.6784960031509399,0.673025369644165,0.6474030613899231,0.675564169883728,0.630800724029541,0.6306610703468323,0.6386165618896484,0.6377623081207275,0.6423531770706177,0.6062067747116089,0.6242294907569885,0.5798664689064026,0.5831705331802368,0.5673471689224243,0.6014035940170288,0.6022151708602905,0.6222537159919739,0.6300158500671387,0.6096047759056091,0.6347076296806335,0.6433141827583313,0.6606658697128296,0.7036757469177246,0.6584776639938354,0.6715955138206482,0.6534631252288818,0.6816271543502808,0.6700210571289062,0.6491737365722656,0.6614944934844971,0.688520073890686,0.7241393327713013,0.7544286251068115,0.7863686084747314,0.7799350023269653,0.8418055772781372,0.8664027452468872,0.8751804232597351,0.8456801176071167,0.8564398884773254,0.8234588503837585,0.8319612145423889,0.8051319122314453,0.7673450708389282,0.8006542921066284,0.7883657217025757
