,Beagle,Beaver,Chihuahua,Dobermann,German Shepherd,Ginger Cat,Gray Parrot 2,Gray Parrot Full,Gray Parrot,Husky,Irish Setter,Leopard,Lion,Lynx,Macaw Parrot,Moose,Puma,Raccoon,Red Squirrel,Vizsla
Beagle,1.0,0.08329258859157562,0.17861686646938324,0.0009000459685921669,0.23759007453918457,0.047502562403678894,0.003414856269955635,0.014341751113533974,0.026010755449533463,0.17669375240802765,0.050944067537784576,0.07858915627002716,0.048457734286785126,0.08824168145656586,0.09568716585636139,0.020603304728865623,0.04804792255163193,0.06708119064569473,0.03598500043153763,0.21744932234287262
Beaver,0.08329258859157562,1.0,0.030059190467000008,0.04194796085357666,0.09988676756620407,0.06288537383079529,0.033724699169397354,0.06396700441837311,0.04220743849873543,0.04477723687887192,0.09075509011745453,0.10411995649337769,0.15221896767616272,0.046834010630846024,0.05282814800739288,0.1409473419189453,0.11619886755943298,0.11904981732368469,0.3276933431625366,-0.05964385345578194
Chihuahua,0.17861686646938324,0.030059190467000008,0.9999998807907104,0.10206139087677002,0.050608061254024506,0.03766125813126564,0.03491365164518356,-0.0010535595938563347,0.0408630408346653,0.10910004377365112,-0.04439333453774452,0.025635862722992897,0.028516290709376335,-0.0047994256019592285,0.06176849082112312,0.03962096571922302,0.07928451895713806,0.006063587963581085,0.05452554300427437,0.0054133315570652485
Dobermann,0.0009000459685921669,0.04194796085357666,0.10206139087677002,1.0,0.13054873049259186,0.070532888174057,0.04938255995512009,0.0428808368742466,0.05532823130488396,0.16078780591487885,0.07972369343042374,0.05485975742340088,0.09971920400857925,0.1535574495792389,0.057471372187137604,0.1556890606880188,0.09871939569711685,0.020635701715946198,0.06552905589342117,0.3720710277557373
German Shepherd,0.23759007453918457,0.09988676756620407,0.050608061254024506,0.13054873049259186,0.9999999403953552,0.040014851838350296,0.06578770279884338,0.060989756137132645,0.07687094062566757,0.2765033543109894,0.11010970920324326,0.04530014097690582,0.057508956640958786,0.0651308000087738,0.048402659595012665,0.11695931851863861,0.08532800525426865,0.01689235121011734,0.04747940972447395,0.08632654696702957
Ginger Cat,0.047502562403678894,0.06288537383079529,0.03766125813126564,0.070532888174057,0.040014851838350296,1.0,0.06364909559488297,0.06645113974809647,0.06936028599739075,0.06845726072788239,0.1084328144788742,0.15220242738723755,0.06740973889827728,0.15360237658023834,0.0947515070438385,0.002294613979756832,0.11547127366065979,0.005647637881338596,0.01709364354610443,0.20884260535240173
Gray Parrot 2,0.003414856269955635,0.033724699169397354,0.03491365164518356,0.04938255995512009,0.06578770279884338,0.06364909559488297,1.0000001192092896,0.9127785563468933,0.9505894184112549,0.0383761003613472,-0.010828983969986439,0.04005520045757294,0.01620195433497429,0.013364933431148529,0.3003302812576294,0.020473914220929146,0.0605715848505497,-0.007227947935461998,-0.022467536851763725,0.041575584560632706
Gray Parrot Full,0.014341751113533974,0.06396700441837311,-0.0010535595938563347,0.0428808368742466,0.060989756137132645,0.06645113974809647,0.9127785563468933,0.9999999403953552,0.8839158415794373,0.032551661133766174,-0.0028777020052075386,0.02322438545525074,0.04440964758396149,0.027116719633340836,0.2793830931186676,0.03785804659128189,0.07305720448493958,0.015201544389128685,0.0053069740533828735,0.03725918009877205
Gray Parrot,0.026010755449533463,0.04220743849873543,0.0408630408346653,0.05532823130488396,0.07687094062566757,0.06936028599739075,0.9505894184112549,0.8839158415794373,1.0000001192092896,0.05641022324562073,0.014010174199938774,0.047205012291669846,0.037952255457639694,0.024638574570417404,0.3331843912601471,0.045655202120542526,0.0816146582365036,0.005885779857635498,0.004382493905723095,0.05076507478952408
Husky,0.17669375240802765,0.04477723687887192,0.10910004377365112,0.16078780591487885,0.2765033543109894,0.06845726072788239,0.0383761003613472,0.032551661133766174,0.05641022324562073,1.0000001192092896,0.015960661694407463,0.044423677027225494,0.04338546469807625,0.10392733663320541,0.024760819971561432,0.04568987339735031,0.08124297857284546,0.0885395035147667,0.044052623212337494,0.11599231511354446
Irish Setter,0.050944067537784576,0.09075509011745453,-0.04439333453774452,0.07972369343042374,0.11010970920324326,0.1084328144788742,-0.010828983969986439,-0.0028777020052075386,0.014010174199938774,0.015960661694407463,1.0,0.050321947783231735,0.0976482406258583,0.07879055291414261,-0.037933479994535446,0.142563134431839,0.09224636852741241,0.04623807221651077,0.051314014941453934,0.17663602530956268
Leopard,0.07858915627002716,0.10411995649337769,0.025635862722992897,0.05485975742340088,0.04530014097690582,0.15220242738723755,0.04005520045757294,0.02322438545525074,0.047205012291669846,0.044423677027225494,0.050321947783231735,1.0,0.32289475202560425,0.19413170218467712,0.06044219061732292,0.07651962339878082,0.25720417499542236,0.06693515926599503,0.1252310574054718,0.037765949964523315
