Year,Runs,Miles,Elevation,Hours
2008,6,35.0,9963,5.68
2009,42,267.6,54900,55.55
2010,16,151.9,6809,31.93
2011,11,73.2,16460,16.23
2012,44,248.2,21509,39.98
2013,43,268.1,40853,45.88
2014,18,108.6,14360,17.40
2015,37,230.7,27497,37.03
2016,10,90.0,11821,15.03
2017,39,444.0,74268,83.38
2018,38,337.2,71585,62.12
2019,61,611.1,135256,109.47
2020,162,1546.9,238488,250.16
2021,175,1850.4,312864,303.0
2022,164,1536.5,223970,261.3
2023,191,1897.0,277470,334.8
2024,199,1671,194836,275.5
2025,33,265.8,30554,39.0
